FORRES GRANGE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 063 607,Long,-3.570596,Lat,57.626486,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,,,,,3.36,0.95,1.8,1.25,1.75,0.6,2.75,1.2,2.6,1.9,1.65,3.7,1.3,1.2,2,2.9
February,,,,,,,,,,0.55,,,,,0.94,1.3,1.15,0.5,1.55,3,0.5,1.8,2.5,2.25,3.3,0.5,0.45,0.6,1.85,1.35
March,,,,,,,,,,2.17,,,,,1.05,1.32,0.45,1.35,3.1,1.2,1.9,0.95,1.7,0.7,0.8,3.1,1.7,1.7,1.95,2.8
April,,,,,,,,,,0.75,,,,,0.49,-999,0.9,1.9,1.4,0.9,0.6,0.7,1.1,1.1,0.75,1.5,1.3,0.5,1.2,3.8
May,,,,,,,,,,3.53,,,,,0.95,-999,3.43,1.5,1.1,0.68,0.5,2.75,2.6,1.25,3.1,1.9,1.3,0.52,2.1,2.55
June,,,,,,,,,,3,,,,,0.34,-999,1.1,0.55,-999,0.32,2.1,0.5,2.9,1.05,5.5,3.5,1.6,1.8,2,1.45
July,,,,,,,,,,3.35,,,,,1.54,0.9,2.23,2.5,-999,2,4.5,5.9,1.6,3.6,2,2.9,3.5,0.9,2.5,2.6
August,,,,,,,,,,3.83,,,,,1.7,2.6,1.22,1.64,1.25,4.6,4,2.65,3.25,3.3,3.75,2.6,2.4,2.2,2.8,1.25
September,,,,,,,,,,1.5,,,,,0.5,2.95,2.5,4.12,1.3,1,1.65,1.35,2.2,3.9,0.45,1.59,2.75,1.7,3.15,3.5
October,,,,,,,,,,1.18,,,,,1.15,-999,1.76,3,2.8,3.15,2.6,0.6,5,4.3,2.2,4.48,4,0.8,2.4,1.6
November,,,,,,,,,,1.6,,,,,2.1,-999,1.6,2,2.45,1.5,3.2,1.5,1.5,2.95,0.34,1,1.2,1.8,1.8,1
December,,,,,,,,,,0.4,,,,,1.5,1,3,2.5,0.7,1.1,0.8,2.5,1.2,1.1,1.32,2.35,2.8,2.2,3,4
Total,,,,,,,,,,,,,,,15.62,18.87,21.14,22.81,21.2,20.05,25.1,22.4,28.15,27.4,25.16,29.12,24.3,15.92,26.75,28.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885 &88 Bracketed figures -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
