"BIDFORD (MOOR HALL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2445,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.16,2.40,2.40,1.80,3.29,1.60,2.68,2.61,3.53,0.90,3.63,
February,0.59,0.15,2.56,3.70,0.51,2.15,2.44,2.22,1.55,0.53,0.65,
March,2.54,1.08,1.45,1.70,0.65,0.62,0.81,1.89,1.83,0.03,1.57,
April,3.72,1.09,2.09,2.60,2.66,2.24,2.17,1.43,1.28,0.90,2.70,
May,1.66,1.45,0.77,1.60,5.64,2.49,2.77,1.21,0.83,1.46,2.41,
June,2.11,0.54,0.94,0.10,2.25,0.20,1.68,3.02,2.72,1.05,2.33,
July,4.53,0.29,4.46,2.20,3.07,3.29,1.79,3.11,1.23,1.26,2.91,
August,1.33,3.61,5.01,2.30,3.50,2.29,2.15,2.91,1.51,1.45,3.49,
September,2.48,1.23,2.17,2.20,3.48,3.28,0.73,4.53,0.57,0.63,3.05,
October,2.75,1.91,0.44,4.50,3.66,2.94,2.65,1.41,3.27,3.57,1.95,
November,0.51,1.85,0.88,0.90,1.90,1.13,5.00,2.31,2.59,5.55,2.81,
December,1.76,1.40,2.62,2.40,2.14,2.24,0.34,2.78,1.95,4.45,2.73,
Total,26.14,17.00,25.79,26.00,32.75,24.47,25.21,29.43,22.86,21.78,30.23,
Calc annual,26.14,17.00,25.79,26.00,32.75,24.47,25.21,29.43,22.86,21.78,30.23,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
