HATFIELD PEVEREL (BUTLERS),,,,,,,,,,,,
Grid ref,TL805101,Long,0.614057,Lat,51.760491,,,,,,,
Station no,1292/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.89,1.88,2.32,3.51,0.95,2.15,1.74,1.46,,
February,,,0.82,1.99,1.73,0.40,2.00,2.76,0.08,1.60,,
March,,,0.37,1.82,1.18,0.76,1.26,0.50,1.41,1.12,,
April,,,1.80,0.24,0.16,1.05,0.18,1.14,2.00,0.56,,
May,,,1.38,2.20,3.87,0.52,0.99,2.42,0.72,2.07,,
June,,,1.59,2.49,2.48,1.61,1.21,4.65,0.40,1.33,,
July,,,2.75,2.76,0.09,3.35,2.65,2.48,1.92,2.32,,
August,,,1.47,2.54,0.53,3.58,1.71,3.47,0.54,2.91,,
September,,,1.97,1.38,1.79,2.06,2.43,4.88,0.02,5.01,,
October,,,2.28,1.35,3.90,1.20,1.24,2.03,2.30,6.18,,
November,,,0.83,2.96,0.74,0.44,3.00,1.14,2.59,3.54,,
December,,2.19,0.69,1.19,1.45,1.76,1.77,2.92,3.76,2.25,,
Total,,,16.84,22.80,20.24,20.24,19.39,30.54,17.48,30.35,,
Calc annual,0.00,2.19,16.84,22.80,20.24,20.24,19.39,30.54,17.48,30.35,,
Difference,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
