SPAXTON-BUSH-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST219360,Long,-3.11672,Lat,51.11838,Elevation,350,ft,,,,,,,,,,,,
Station no,2080/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.86,3.48,0.7,3.98,5.57,4.29,6.36,2.62,,,,,,,,,,
February,,,4.36,0.3,3.29,2.29,5.27,1.03,1.34,2.55,,,,,,,,,,
March,,,3.52,2.32,1.13,3.25,5.08,0.21,0.87,2.63,,,,,,,,,,
April,,,1.29,3.35,5.31,2.3,3.02,0.09,3.71,2.18,,,,,,,,,,
May,,3.71,2.21,1.08,1.73,1.08,1.94,2.31,1.09,2.19,,,,,,,,,,
June,,1.16,1.26,1.73,2.38,3.31,0.8,1.65,3.26,0.7,,,,,,,,,,
July,,2.67,1.63,0.17,0.46,5.67,3.65,2.45,5.29,3.89,,,,,,,,,,
August,,1.13,0.84,3.37,2.34,0.38,0.84,3.55,2.06,0.13,,,,,,,,,,
September,,4.15,2.31,1.8,3.81,4.08,2.99,2.78,1.39,1.81,,,,,,,,,,
October,,5.97,3.72,3.03,4.45,1.92,3.73,3.62,3.25,5.6,,,,,,,,,,
November,,2.86,0.75,1.66,6.22,3.34,2.11,4.56,6.5,7.67,,,,,,,,,,
December,,2.33,1.29,8.43,5.95,3.16,2.61,3.92,1.86,3.29,,,,,,,,,,
Total,,,25.04,30.72,37.77,34.76,37.61,30.46,36.98,35.26,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1932 Gauge from Fiddington Keenthorne Stn No 2086,,,,,,,,,,,,,,,,,,,,
1940 Total adjusted to match monthly totals Sheet has 34.25,,,,,,,,,,,,,,,,,,,,
1941 Terminated for duration,,,,,,,,,,,,,,,,,,,,
1945 No more records to be kept,,,,,,,,,,,,,,,,,,,,
