"MASHAM MOOR HEALEY - 5"" old gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE179805,Long,-1.726982,Lat,54.219916,Elevation,542,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,2.01,1.18,4.4,4.11,0.91,4.35,1.45,2.43,1.5,4.27,1.77,4.21,4.92,2.02,5.14,2.05,3.06,2.81,4.53,4.62,6.08,4.75,,,,,,,,
February,,1.3,1.48,3.92,4.04,1.71,2.3,2.28,2.62,1.07,3.66,2.44,2.41,1.52,3.56,5.61,4.46,0.78,4.05,2.68,2.31,0.16,3.58,,,,,,,,
March,,2.99,1.44,5.35,2.45,2.76,1.95,2.35,4.36,4.24,0.7,1.96,3.77,6.18,2.28,1.25,5.16,2.43,1.47,4.34,4.15,1.97,,,,,,,,,
April,,2.18,1.72,1.44,1.97,3.28,0.47,1.79,2.17,2.9,3.21,0.98,0.19,3.79,1.12,1.1,1.53,2.16,1.02,1.93,6.57,1.65,,,,,,,,,
May,,1.27,2.59,5.18,3.95,0.52,4.2,5.05,2.25,1.67,2.28,1.53,2.71,2.21,1.96,2.13,2.97,2.35,3.46,1.73,3.79,1.53,,,,,,,,,
June,,1.21,1.47,2.91,1.61,1.22,1.04,3.76,2.43,3.31,1.98,2.98,6.71,1.43,3.71,0.56,1.91,2.7,0.57,1.3,1.25,0.55,,,,,,,,,
July,,4.13,1.85,3.43,1.72,0.48,0.92,2.04,3.17,2.49,2.89,0.46,4.6,1.38,2.53,4.48,2.13,1.21,5.96,2.47,5.72,2.28,,,,,,,,,
August,,1.34,2.11,3.64,3.52,3.41,2.28,1.52,2.42,3.66,4.56,2.5,5.49,1.19,1.47,4.43,2.31,7.69,2.49,2.74,1.34,4.91,,,,,,,,,
September,,1.34,1.46,3.83,1.01,1.91,0.48,0.51,3.4,1.77,0.24,2.37,2.3,1.83,1.34,0.66,2.42,0.82,7.57,0.97,1.26,1.66,,,,,,,,,
October,,1.17,3.38,9.3,0.69,1.74,6.67,5.97,2.15,3.1,3.56,3.77,2.72,2.56,2.02,1.67,6,4.37,3.19,4.76,3.81,1.56,,,,,,,,,
November,,3.76,2.56,1.5,1.85,6.04,3.32,2.41,1.96,1,3.6,4.8,2.16,2.54,5.29,2.36,4.28,2.96,2.02,4.15,2.02,2.74,,,,,,,,,
December,,3.93,3.84,2.41,2.01,0.86,1.75,4.13,1.39,4.49,3.91,5.45,3.21,1.64,7.75,8.3,2.52,1.83,5.15,4.96,3.39,4.64,,,,,,,,,
Total,,26.63,25.08,47.31,28.93,24.84,29.73,33.26,30.75,31.2,34.86,31.01,40.48,31.19,35.05,37.69,37.74,32.36,39.76,36.56,40.23,29.73,,,,,,,,,
