"MASHAM MOOR HEALEY",,,,,,,,,,,,
Grid ref,SE179805,Long,-1.726982,Lat,54.219916,,,,,,,
Station no,3412,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.76,2.52,1.47,5.50,5.44,1.39,6.27,2.09,,,,
February,9.02,1.69,1.70,5.13,5.14,2.22,3.27,3.36,,,,
March,1.29,3.68,1.59,7.27,3.10,3.47,2.61,2.92,,,,
April,2.17,2.57,2.13,1.82,2.69,4.08,0.61,2.14,,,,
May,2.02,1.52,3.08,6.35,4.63,0.61,5.05,6.06,,,,
June,3.65,1.36,1.79,3.38,1.87,1.55,1.23,4.43,,,,
July,2.11,4.69,2.16,3.97,1.98,0.59,1.10,2.32,,,,
August,7.64,1.55,2.27,4.32,4.38,3.91,2.74,1.76,,,,
September,1.22,1.59,1.62,4.61,1.28,2.28,0.56,0.59,,,,
October,6.08,1.51,3.92,11.44,0.85,2.09,7.96,8.11,,,,
November,4.59,5.16,3.08,1.92,2.38,7.22,4.11,3.25,,,,
December,4.69,4.85,4.89,2.96,2.38,1.10,2.11,5.36,,,,
Total,49.24,32.69,29.70,58.67,36.12,30.51,37.62,42.39,,,,
Calc annual,49.24,32.69,29.70,58.67,36.12,30.51,37.62,42.39,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,NaN,NaN,,
