"MASHAM MOOR LEIGHTON & HEALEY - 8"" GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE161792 ,Long,-1.7546559,Lat,54.208292,Elevation,636,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,7.31,2.31,2.39,1.04,5.69,4.02,0.89,1.64,1.48,5.66,4.76,2.52,1.47,5.5,5.44,1.39,6.27,2.09,,
February,,,,,,,,,,,0.6,0.12,2.55,4.91,6.86,1.69,0.63,3.41,1.99,2.76,9.02,1.69,1.7,5.13,5.14,2.22,3.27,3.36,,
March,,,,,,,,,,,2.97,2.06,0.28,1.42,2.76,3.65,3.87,5.43,1.3,1.35,1.29,3.68,1.59,7.27,3.1,3.47,2.61,2.92,,
April,,,,,,,,,,,1.36,3.99,1.51,0.41,3.23,2.97,1.02,2.03,3.81,2.98,2.17,2.57,2.13,1.82,2.69,4.08,0.61,2.14,,
May,,,,,,,,,,1.51,2.78,3.21,3.32,1.9,1.73,0.56,0.45,1.31,2.43,3.88,2.02,1.52,3.08,6.35,4.63,0.61,5.05,6.06,,
June,,,,,,,,,,0.24,3.74,1.07,4.83,1.8,4,2.25,3.45,2.13,2,1.57,3.65,1.36,1.79,3.38,1.87,1.55,1.23,4.43,,
July,,,,,,,,,,3.21,1.61,4.12,2.49,2.64,5.23,5.36,1.52,1.07,0.69,3.01,2.11,4.69,2.16,3.97,1.98,0.59,1.1,2.32,,
August,,,,,,,,,,4.29,5.02,5.8,4.33,3.03,2.33,2.59,1.7,4.19,2.62,1.55,7.64,1.55,2.27,4.32,4.38,3.91,2.74,1.76,,
September,,,,,,,,,,0.94,1.94,2.72,1.87,1.71,0.74,1.39,7.67,1.92,0.83,5.41,1.22,1.59,1.62,4.61,1.28,2.28,0.56,0.59,,
October,,,,,,,,,,6.3,1.21,4.85,8.14,2.6,6.8,4.14,4.01,1.8,6.57,3,6.08,1.51,3.92,11.44,0.85,2.09,7.96,8.11,,
November,,,,,,,,,,0.57,4.16,4.83,2.13,1.75,2.19,5.89,1.45,2.27,3.06,4.13,4.59,5.16,3.08,1.92,2.38,7.22,4.11,3.25,,
December,,,,,,,,,,1.67,0.74,5.88,0.72,3.81,3.33,3.87,4.27,4.88,3.11,3.69,4.69,4.85,4.89,2.96,2.38,1.1,2.11,5.36,,
Total,,,,,,,,,,,33.44,40.96,34.56,27.02,44.89,38.38,30.93,32.08,29.89,38.99,49.24,32.69,29.7,58.67,36.12,30.51,37.62,42.39,,
