"MASHAM MOOR (HEALEY PASTURE)",,,,,,,,,,,,
Grid ref,SE157808,Long,-1.760706,Lat,54.222684,,,,,,,
Station no,3412,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,3.01,0.69,2.83,2.89,4.99,4.24,4.22,3.78,5.78,,
February,4.55,0.52,2.63,3.42,2.36,2.19,3.80,6.66,0.12,4.54,,
March,4.69,2.16,0.43,2.59,2.65,1.51,2.11,2.85,2.26,3.32,,
April,2.27,1.70,2.99,0.62,0.76,2.15,0.32,0.98,4.17,1.89,,
May,8.20,1.91,2.55,4.72,3.36,0.65,1.85,5.21,1.12,1.42,,
June,1.11,0.91,3.57,2.05,2.60,3.15,1.57,3.72,1.69,0.91,,
July,1.28,1.04,3.10,2.22,1.04,5.53,3.94,2.79,1.81,4.37,,
August,5.40,3.43,3.42,6.92,1.67,8.05,6.63,3.28,0.85,3.36,,
September,1.67,4.74,2.66,2.97,1.47,4.53,4.12,3.26,0.14,3.71,,
October,1.61,4.36,2.34,6.78,2.44,2.08,3.51,2.80,3.94,7.79,,
November,9.77,2.61,2.67,8.14,3.14,0.89,2.50,0.86,5.90,6.56,,
December,5.66,2.58,2.03,3.66,5.22,4.40,3.78,5.34,8.50,5.11,,
Total,49.27,28.97,29.08,46.92,29.60,40.12,38.37,41.97,34.28,48.76,,
Calc annual,49.27,28.97,29.08,46.92,29.60,40.12,38.37,41.97,34.28,48.76,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
