NEWCASTLE ON TYNE,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ237650,Long,-1.6312404,Lat,54.979047,Elevation,187,ft,,,,,,,,,,,,
Station no,RR2819,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,2.45,,,,1.15,1.36,0.04,0.14,3.59,0.6,1.99,,,,,,,
February,,,1.1,,,,1.17,0.6,0.3,0.14,1.04,2.08,1.08,,,,,,,
March,,,0.6,,,,0.02,1.51,0.67,1.32,1.25,1.55,3.35,,,,,,,
April,,,1.02,1.7,,,1.24,2.45,0.23,2.08,0.98,1.05,,,,,,,,
May,,,2.53,1.6,,,4.43,1.22,1.01,0.11,2.3,0.6,,,,,,,,
June,,,4.98,1.3,,,2.23,2.12,0.8,0.8,3.1,2.55,,,,,,,,
July,,,4.71,5.5,,,0.99,0.5,2.92,2.85,2.67,2.88,,,,,,,,
August,,,3.32,2.4,,,3.14,1.74,1.08,2.41,2.39,1.5,,,,,,,,
September,,,,1.7,,,3.63,2.5,2.71,2.13,1.09,1.79,,,,,,,,
October,,,10.68,,,,0.49,0.61,0.98,1.93,2.31,0.73,,,,,,,,
November,,,5.31,,,,0.46,1.82,1.68,2.11,2.88,2.9,,,,,,,,
December,,,6.14,,,,2.28,0,0.87,2.41,3.68,0.55,,,,,,,,
Total,,,42.84,,,,21.23,16.43,13.29,18.43,27.28,18.78,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer Lieutenant Sitwell; A Lt Honorius sitwell was stationed at Newcastle Barracks in 1861. of the Royal Engineers on survey so assume the observer,,,,,,,,,,,,,,,,,,,,
NGR for the old Newcastle Barracks at the time of recording.,,,,,,,,,,,,,,,,,,,,
