WEST MOLESEY WALTON WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ116684,Long,-0.396996,Lat,51.403659,Elevation,32,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.38,0.57,2.06,0.9,2.42,2.94,0.98,0.74,2.28,2.74,0.95,3.5,0.56,1.92,0.69,1.53,1.17,3.23,2.29,0.45,3.57,0.96,0.82,2.95,2.93,1.62,1.87,2.26,1.28,2.46,1.79,2.63,1.79,2.93,1.11,3.16,1.09,1.56,1.4,1.37,0.83,3.61,3.74,2.27,3.94,2.51,2.37,2.18,4.78,1.58,1.77,1.54,1.81,3.52,1.06,0.81,3.11,1.85,0.83,1.03,1.92,3.58,1.36,1.9,2.03,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.11,0.26,2.16,1.12,2.3,3.86,1.32,0.8,0.98,2.41,0.64,1.61,1.19,0.88,0.37,2.59,1.07,1.53,0.84,2.49,3.6,2.87,0.63,0.75,1.87,0.29,0.17,1.9,2.82,0.51,3.32,2.02,3.61,1.41,0.32,0.59,1.26,0.17,2.87,0.19,2.34,1.65,3.94,0.34,0.86,1.44,1.95,0.81,1.26,0.69,1.39,2.36,1.2,0.99,0.83,3.46,5.66,0.73,1.05,2.05,1.14,0.15,2.78,2.03,0.08,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.05,3.09,3.79,1.15,0.54,1.04,1.93,1.67,2.25,1.39,3.28,0.98,0.75,2.55,2.84,0.9,1.42,2.3,2.57,4.03,0.67,4.25,1.67,0.83,2.81,1.01,0.96,1.59,2.18,0.77,0.38,0.24,2.45,1.21,0.04,1.45,0.24,1.26,2.56,2.02,0.26,1.03,3,0.22,0.9,3.36,3.29,1.64,0.37,0.09,0.96,1.01,4.59,0.48,0.78,0.71,2.9,2.62,0.41,1.98,0.83,0.44,1.06,1.02,1.75,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.47,0.64,1.37,0.92,2.11,0.86,1.89,0.73,1.76,1.03,1.34,0.37,3.23,2.43,1.47,1.12,1.91,0.01,2.43,0.65,0.9,0.76,1.67,2.64,2.02,2.26,0.58,2.72,1.76,3.35,1.77,2.78,1.58,1.23,0.94,1.3,3.63,2.31,0.61,2.03,3.33,1.56,1.93,0.06,2.23,1.83,1.61,0.93,0.85,1.27,1.18,2.31,1.55,1.04,1.58,2.83,2.79,1.35,2.09,0.31,0.21,0.91,0.31,1.02,2.11,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.46,0.33,1.59,2.58,1.37,1.31,0.26,2.27,1.85,2.16,0.38,2.11,1.6,1.73,1.51,1.65,1.98,1.09,1.76,1.14,3.16,1.99,1.67,1.94,0.13,0.44,0.8,0.86,2.49,3.26,1.88,1.7,1.09,2.34,1.21,2.61,2.34,4.83,2.38,0.42,1.28,0.56,2.3,1.49,1.45,1.31,1.37,2.84,2.01,0.95,2,2.89,1.34,2.21,2.98,1.38,2.09,2.1,1.26,1.61,3.31,0.14,1.04,2.36,0.74,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.19,2.2,3.77,1.27,1.45,2.22,1.19,3.76,6.63,0.8,4.82,2.23,2.22,2.03,3.81,2.42,1.88,3.17,0.54,3.06,1.42,1.72,3.1,0.67,1.04,1.59,0.18,0.93,0.33,2.34,0.03,3.44,2.87,2.06,0.8,0.71,1.37,1.06,1.65,0.85,3,3.57,2.26,0.49,1.69,0.55,1.85,1.35,1.22,1.84,1.46,2.64,2.65,2.48,0.42,3.89,0.84,1.83,1.38,4.17,2.52,1.77,0.71,3.56,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.39,1.97,1.16,0.69,0.56,0.99,2.55,1.27,3.73,2.15,0.63,0.67,1.34,2.31,3.33,2.62,1.26,1.45,1.57,2.22,3.58,1.34,5.58,4.6,2.1,4.4,0.06,3.06,2.86,3.69,3.59,1.61,2.7,2.23,1.2,1.35,3.01,2.31,1.81,2.31,1.48,2.81,0.66,1.09,2.13,2.56,2.66,1.98,2.28,1.86,3.5,2.42,2.35,0.89,2.01,3.2,1.26,0.47,3.57,2.09,0.2,5.13,2.91,1.73,1.72,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.5,2.7,2.5,1.15,0.46,2.8,1.92,3.3,3.42,1.59,2.29,0.93,2.14,2.86,1.99,1.76,0.96,4.62,1.39,1.17,2.08,3.13,3.38,0.98,1.92,1.43,0.47,2.36,1.33,2.41,2.86,0.95,2.72,2.65,2.1,2.27,4.26,0.9,0.58,1.77,2.58,0.7,2.71,1.98,2.44,0.14,4.96,2.43,1.21,2.55,1.58,3.87,0.54,3.35,1.69,1.74,2.99,3.59,1.37,3.41,0.99,2.47,3.72,3.12,1.15,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.07,1.33,5.81,1.9,0.6,2.39,0.55,1,2.95,3.79,1.5,1.79,2.14,0.44,1.24,2.31,0.77,1.1,2.27,1.55,0.82,2.19,1.2,1.87,4.99,1.53,1.95,1.7,1.48,1.5,3.14,2.35,1.37,4.63,1.02,0.1,2.66,1.91,2.22,2.53,1.37,3.15,1.96,1.77,1.62,0.88,1.25,0.45,0.65,1.85,2.36,2.13,2.87,0.99,1.27,0.28,2.39,2.22,3.38,1.95,1.87,1.71,2.21,2.35,3.5,0.02,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.25,2.75,2.55,0.6,3.34,2.19,1.6,1.52,1.55,5.26,1.54,1.25,3.37,3.86,2.32,3.22,2.57,3.15,2.26,3.78,1.22,2.65,3.77,2.93,0.91,0.55,1.6,0.54,0.94,5.4,3.28,2.58,2.1,1.34,3.75,2.55,0.86,0.64,5.07,1.65,1.09,2.31,1.97,2.97,2.34,4.7,2.25,0.97,3.33,2.26,2.85,2.44,1.15,0.14,2.16,5.28,0.36,0.7,2.62,2.7,1.78,2.33,1.78,1.62,1.88,2.04,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
