BOURNEMOUTH-WESTBOURNE-DINMORE,,,,,,,,,,,,,,,,,
Grid ref,SZ064916,Long,-1.91066,Lat,50.724,Elevation,137,ft,,,,,,,,,
Station no,RR7306,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.94,3.38,2.54,3.65,3.03,1.32,1.06,3.89,,,,,,,,,
February,4.4,2.79,3.72,0.76,0.93,0.84,1.68,0.7,,,,,,,,,
March,1.13,2.59,1.58,3.31,1.2,3.54,2.3,1.13,,,,,,,,,
April,0.93,1.75,1.5,2.54,0.78,1.23,2.02,2.64,0.73,,,,,,,,
May,2.12,1.16,2.87,3.95,2.1,1.88,1.62,1.69,1.27,,,,,,,,
June,1.63,3.89,2.16,0.29,0.76,3.13,0.88,2.98,1.88,,,,,,,,
July,2.94,2.36,0.24,2.69,0.54,3.08,2.58,3.44,1.55,,,,,,,,
August,0.84,1.54,1.03,0.94,2.86,2.11,2.69,2.9,5.22,,,,,,,,
September,5.22,2.05,4.24,2.76,2.81,,0.53,1.96,1.79,,,,,,,,
October,2.63,1.36,4.35,4.65,1.67,2.52,6.06,,5.81,,,,,,,,
November,3.79,1.38,4,4.14,3.15,5.32,1.37,,2.96,,,,,,,,
December,0.73,3.44,1.99,7.04,2.38,2.65,2.49,,2.84,,,,,,,,
Total,29.3,27.69,30.22,36.72,22.21,,25.28,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Gauge 1 ft above ground,,,,,,,,,,,,,,,,,
Observer still lived in Dinmore ,,,,,,,,,,,,,,,,,
Altitude nearer to actual elevation,,,,,,,,,,,,,,,,,
1888 Sept Gauge moved to 6 Poole Rd,,,,,,,,,,,,,,,,,
Location not found but sheet gives same elevation,,,,,,,,,,,,,,,,,
