BOURNEMOUTH-WESTBOURNE-DINMORE-(BRANKSOME-TERRACE),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ080911,Long,-1.88803,Lat,50.71985,Elevation,126,ft,,,,,,,,,,,,
Station no,RR7568,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,3.15,1.44,2.46,6.22,4.11,,,1.34,6.83,1.62,4.56
February,,,,,,,,,,1.76,2.67,1.39,2.59,2.74,,,2.71,1.45,2.34,4.23
March,,,,,,,,,,2,1.26,0.9,2.45,3.41,,,3.63,2.4,2.02,0.74
April,,,,,,,,,,0.79,0.43,3.92,1.53,0.82,,,1.86,3.57,2.7,2.13
May,,,,,,,,,,3.86,1.71,0.75,2.39,0.87,,,0.38,,3.86,1.95
June,,,,,,,,,,1.17,0.16,2.46,2.54,,,,1.38,,1.7,5.15
July,,,,,,,,,,0.78,1.88,3.32,3.59,,,,0.45,,1.66,3.1
August,,,,,,,,,,0.55,2.21,1.7,1.59,,,1.79,3.7,3.12,4.32,5.97
September,,,,,,,,,,4.05,1.55,5.02,1.31,,,1.87,4.72,2.27,2.86,
October,,,,,,,,,,1.53,3.45,2.32,5.5,,,7.55,2.36,2.46,2.9,
November,,,,,,,,,,1.37,2.37,0.77,4.56,,,5.34,4.7,8.28,2.45,
December,,,,,,,,,,2.58,3.52,1.76,4.37,,,1.17,8.38,1.8,1.44,
Total,,,,,,,,,,23.59,22.65,26.77,38.64,,,,35.61,,29.87,
,,,,,,,,,,,,,,,,,,,,
3 Beaumont Terrace,,,,,,,,,,,,,,,,,,,,
1873 Station terminated,,,,,,,,,,,,,,,,,,,,
1875 Moved not more than 100 yrds E to 16 Branksome Terrace NGR between both locations,,,,,,,,,,,,,,,,,,,,
1875 Station restarted at nearby house both having small walled gardens and elevation remaining the same,,,,,,,,,,,,,,,,,,,,
In both locations gauge was 6ft above ground,,,,,,,,,,,,,,,,,,,,
1879 Sept Moved 0.75 mile W to Dinmore crossing Dorset Hampshire border,,,,,,,,,,,,,,,,,,,,
