"DONCASTER (LOW PASTURE P.S.)",,,,,,,,,,,,
Grid ref,SE589022,Long,-1.113259,Lat,53.513190,,,,,,,
Station no,3111/5/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.67,1.83,0.27,1.13,1.55,3.19,1.22,1.96,2.15,4.50,,
February,2.39,0.43,1.61,2.10,1.87,0.96,1.78,3.42,0.04,1.80,,
March,2.34,1.54,0.63,1.38,2.32,0.79,1.04,1.65,0.73,1.42,,
April,0.63,0.65,1.89,0.21,0.64,2.08,0.23,0.32,2.50,0.55,,
May,3.95,1.52,1.63,3.16,2.26,0.21,0.68,1.72,0.49,0.92,,
June,0.82,1.75,1.50,1.69,2.63,3.98,1.54,3.81,1.19,0.54,,
July,1.50,1.12,2.83,1.76,0.61,3.17,4.93,5.12,1.60,2.30,,
August,4.73,1.12,2.08,4.82,0.31,5.69,4.47,2.18,0.32,3.21,,
September,1.12,2.46,1.36,1.42,0.67,1.70,3.32,1.42,0.00,2.68,,
October,1.18,2.72,1.99,2.56,1.41,1.12,0.90,1.46,1.82,5.66,,
November,4.87,1.52,1.14,4.21,1.67,0.67,2.38,0.67,2.89,3.31,,
December,1.52,1.49,1.08,2.26,1.98,2.03,1.82,2.84,2.62,1.76,,
Total,26.72,18.15,18.01,26.70,17.92,25.59,24.31,26.57,16.35,28.65,,
Calc annual,26.72,18.15,18.01,26.70,17.92,25.59,24.31,26.57,16.35,28.65,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
