DONCASTER (LOW PASTURE P.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE589022,Long,-1.113259,Lat,53.51319,Elevation,24,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3111/5/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.45,4.1,2.22,3.28,1.88,3.11,2.19,1.97,1.75,2.09,4.27,0.81,0.99,1.67,1.83,0.27,1.13,1.55,3.19,1.22,1.96,2.15,4.5
February,,,,,,,,1.21,0.72,1.87,2.53,0.84,0.77,1.84,1.39,2.25,1.89,1.04,0.72,3.88,2.39,0.43,1.61,2.1,1.87,0.96,1.78,3.42,0.04,1.8
March,,,,,,,,0.25,1.61,1.66,3.57,2.24,0.52,0.38,0.39,0.9,4.1,0.51,1.24,0.85,2.34,1.54,0.63,1.38,2.32,0.79,1.04,1.65,0.73,1.42
April,,,,,,,,0.04,1.37,1.84,1.32,0.71,1.05,2.04,1.3,1.1,1.74,1.22,1.88,2.51,0.63,0.65,1.89,0.21,0.64,2.08,0.23,0.32,2.5,0.55
May,,,,,,,,2.52,1.39,0.53,1.97,2.21,1.95,2.42,2.01,1.52,1.4,1.54,1.71,2.19,3.95,1.52,1.63,3.16,2.26,0.21,0.68,1.72,0.49,0.92
June,,,,,,,,1.77,1.61,0.81,0.23,1.07,0.89,2.13,1.93,1.99,3.02,2.39,0.42,0.91,0.82,1.75,1.5,1.69,2.63,3.98,1.54,3.81,1.19,0.54
July,,,,,,,,2.52,3.08,4.35,2.76,1.19,0.58,1.99,1.67,4.53,0.76,0.96,3.61,1.58,1.5,1.12,2.83,1.76,0.61,3.17,4.93,5.12,1.6,2.3
August,,,,,,,,1.89,1.73,0.48,2.24,2.36,1.79,2.99,1.59,4.49,0.5,3.68,1.61,2.53,4.73,1.12,2.08,4.82,0.31,5.69,4.47,2.18,0.32,3.21
September,,,,,,,,1.63,1.02,0.51,0.32,1.36,2.66,3.38,0.95,2.59,1.13,0.92,0.57,2.83,1.12,2.46,1.36,1.42,0.67,1.7,3.32,1.42,0,2.68
October,,,,,,,,2.18,2.52,3.77,2.17,2.44,1.32,2.16,2.94,0.88,0.55,1.51,3.36,0.7,1.18,2.72,1.99,2.56,1.41,1.12,0.9,1.46,1.82,5.66
November,,,,,,,,1.93,3.48,4.7,3,1.39,1.36,3.42,0.25,4.76,1.12,1.03,2.97,3.61,4.87,1.52,1.14,4.21,1.67,0.67,2.38,0.67,2.89,3.31
December,,,,,,,,3.15,2.13,2.09,0.52,1.21,0.81,1.63,1.23,2.22,2.15,2.47,1.59,1.2,1.52,1.49,1.08,2.26,1.98,2.03,1.82,2.84,2.62,1.76
Total,,,,,,,,20.54,24.76,24.83,23.91,18.9,16.81,26.57,17.62,28.98,20.45,21.54,20.49,23.78,26.72,18.15,18.01,26.7,17.92,25.59,24.31,26.57,16.35,28.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station previously numbered 3158/8 - renumbered owing to revision of river division lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
