LOCH TURRET (LOWER BEN CHONZIE),,,,,,,,,,
Grid ref,NN781304,Long,-3.979266,Lat,56.449955,Elevation,2050,ft,,
Station no,5545/75,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,10.2,8.2,3.8,
February,,,,,,,10.5,4.2,3,
March,,,,,,,7.6,5.45,6.9,
April,,,,,,,3.05,3.3,7.05,
May,,,,,,,3.4,5.2,1.9,
June,,,,,,,3.1,4.4,3.2,3.95
July,,,,,,,6.2,7.35,7.85,5.9
August,,,,,,,7.15,6.3,3.85,
September,,,,,,,5.15,7.25,1.7,
October,,,,,,13.9,4.7,6,6.1,
November,,,,,,2.7,4.55,2.5,10.3,
December,,,,,,13.7,9.3,8,13.95,
Total,,,,,,,74.9,68.15,69.6,
,,,,,,,,,,
BR 1957 P JaFe Estd,,,,,,,,,,
BR 1958 P () Jul Dec Estd,,,,,,,,,,
BR 1959 P Ja Estd Oct Nov Adjusted,,,,,,,,,,
BR 1960 NP too much est Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5545/75,,,,,,,,,
Midas,15325,to 1970,,,,,,,,
Hyd Stn,880926,,,,,,,,,
