LOCH TURRET (LOWER BEN CHONZIE),,,,,,,,,,,,
Grid ref,NN781304,Long,-3.979266,Lat,56.449955,,,,,,,
Station no,5545/7/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,10.20,8.20,3.80,6.75,,
February,,,,,,,10.50,4.20,3.00,8.30,,
March,,,,,,,7.60,5.45,6.90,4.35,,
April,,,,,,,3.05,3.30,7.05,7.50,,
May,,,,,,,3.40,5.20,1.90,5.50,,
June,,,,,,,3.10,4.40,3.20,3.95,,
July,,,,,,,6.20,7.35,7.85,5.90,,
August,,,,,,,7.15,6.30,3.85,5.20,,
September,,,,,,,5.15,7.25,1.70,7.80,,
October,,,,,,13.90,4.70,6.00,6.10,7.60,,
November,,,,,,2.70,4.55,2.50,10.30,8.50,,
December,,,,,,13.70,9.30,8.00,13.95,5.25,,
Total,,,,,,,74.90,68.15,69.60,76.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,30.30,74.90,68.15,69.60,76.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
