OKEFORD-FITZPAINE-PUMPING-STATION,,,,,,,,,,
Grid ref,ST809109,Long,-2.27227,Lat,50.89741,Elevation,230,ft,,
Station no,1623/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.08
February,,,,,,,,,,4.22
March,,,,,,,,,,1.84
April,,,,,,,,,,2.6
May,,,,,,,,,,1.97
June,,,,,,,,,,2.28
July,,,,,,,,,,4.65
August,,,,,,,,,,4.55
September,,,,,,,,,,5.99
October,,,,,,,,,,10.62
November,,,,,,,,,,5.32
December,,,,,,,,,,4.58
Total,,,,,,,,,,52.7
,,,,,,,,,,
SRC_ID 7869,,,,,,,,,,
1959-1982,,,,,,,,,,
