"WEYMOUTH WYKE REGIS BELFIELD HOUSE",,,,,,,,,,,,
Grid ref,SY667779,Long,-2.471877,Lat,50.599865,,,,,,,
Station no,RR4392,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,2.11,0.82,2.41,4.05,1.26,6.41,1.23,0.91,0.88,,
February,5.28,1.30,1.57,1.63,4.63,0.42,3.69,1.22,1.59,0.26,,
March,1.43,2.27,2.13,3.13,1.22,4.46,1.07,0.36,2.61,4.28,,
April,1.31,2.62,2.03,3.33,0.98,1.75,0.90,3.37,1.93,1.26,,
May,1.48,0.99,2.21,2.34,3.16,0.31,3.32,1.89,1.53,1.29,,
June,2.69,0.81,2.74,1.74,1.00,1.85,1.84,1.68,0.40,3.33,,
July,0.97,2.20,1.63,2.53,2.78,0.52,1.15,1.15,1.21,1.93,,
August,1.58,2.67,3.58,3.86,3.69,2.51,0.64,1.34,2.14,2.50,,
September,0.92,3.48,1.88,2.79,1.77,2.39,0.71,0.82,3.01,2.41,,
October,1.99,3.72,2.25,7.09,2.49,2.16,4.98,9.46,6.94,6.20,,
November,3.63,0.43,4.17,1.16,1.88,4.52,3.70,3.23,1.14,0.84,,
December,5.02,4.46,1.99,2.89,3.21,0.73,1.77,3.85,4.01,4.42,,
Total,30.30,27.06,27.00,34.90,30.86,22.88,30.18,29.60,27.42,29.60,,
Calc annual,30.30,27.06,27.00,34.90,30.86,22.88,30.18,29.60,27.42,29.60,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
