WEYMOUTH-WYKE-REGIS-BELFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY667778,Long,-2.47144,Lat,50.59946,Elevation,158,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.23,0.88,3.47,2.67,2.01,2.13,3.78,4.02,0.9,1.96,0.66,3.91,4,2.11,0.82,2.41,4.05,1.26,6.41,1.23,0.91,0.88,2.82,,,,,,,,,
February,,,,,,,,,0.84,1.89,0.77,0.06,1.43,3.82,2.81,0.03,0.5,4.44,2.72,3.28,5.28,1.3,1.57,1.63,4.63,0.42,3.69,1.22,1.59,0.26,4.09,,,,,,,,,
March,,,,,,,,,2.91,1.66,1.18,3.12,0.71,0.71,1.21,2.37,3,5.05,1.61,0.58,1.43,2.27,2.13,3.13,1.22,4.46,1.07,0.36,2.61,4.28,0.66,,,,,,,,,
April,,,,,,,,,1.13,1.93,3.03,0.82,1.12,0.15,1.81,2.42,0.66,3.04,1.08,3.3,1.31,2.62,2.03,3.33,0.98,1.75,0.9,3.37,1.93,1.26,1.32,,,,,,,,,
May,,,,,,,,,1.74,1.48,1.8,2.15,0.69,0.9,1.75,0.38,0.18,1.97,4,1.03,1.48,0.99,2.21,2.34,3.16,0.31,3.32,1.89,1.53,1.29,1.63,,,,,,,,,
June,,,,,,,,,3.2,3.06,2.27,2.14,0.82,0.66,2.03,1.9,1.69,2.55,1.24,0.75,2.69,0.81,2.74,1.74,1,1.85,1.84,1.68,0.4,3.33,2.25,,,,,,,,,
July,,,,,,,,,3.35,2.24,2.7,2.17,3.56,4.93,4.67,2.56,0.69,0.25,0.16,1.52,0.97,2.2,1.63,2.53,2.78,0.52,1.15,1.15,1.21,1.93,2.89,,,,,,,,,
August,,,,,,,,,1.9,2.43,2.89,4.58,2.36,0.85,2.99,2.23,0.95,3.02,1.26,1.02,1.58,2.67,3.58,3.86,3.69,2.51,0.64,1.34,2.14,2.5,2.28,,,,,,,,,
September,,,,,,,,,1.19,0.87,1.64,3.07,2.93,1.84,3.75,0.31,6.61,2.25,0.95,2.6,0.92,3.48,1.88,2.79,1.77,2.39,0.71,0.82,3.01,2.41,0.15,,,,,,,,,
October,,,,,,,,2.73,2.91,4.55,1.17,7.71,4.82,4.3,3.52,3.06,2.74,0.97,4.1,1.7,1.99,3.72,2.25,7.09,2.49,2.16,4.98,9.46,6.94,6.2,4.33,,,,,,,,,
November,,,,,,,,3.61,7.39,1.47,2.72,3.9,3.75,1.31,9.03,5.85,0.94,1.1,3.57,4.17,3.63,0.43,4.17,1.16,1.88,4.52,3.7,3.23,1.14,0.84,4.02,,,,,,,,,
December,,,,,,,,2.4,1.99,2.87,1.6,4.18,2.1,2.88,2.26,3.89,5.88,4.92,3.66,3.44,5.02,4.46,1.99,2.89,3.21,0.73,1.77,3.85,4.01,4.42,5.48,,,,,,,,,
Total,,,,,,,,,29.78,25.33,25.24,36.57,26.3,24.48,39.61,29.02,24.74,31.52,25.01,27.3,30.3,27.06,27,34.9,30.86,22.88,30.18,29.6,27.42,29.6,31.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfield House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large estate NGR near to house with matching elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
