"GREENOCK W.W. ( GRYFE RES. )",,,,,,,,,,,,
Grid ref,NS285713,Long,-4.744914,Lat,55.904164,,,,,,,
Station no,5302,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.28,7.29,4.24,8.75,5.55,4.44,9.38,7.73,2.36,5.10,,
February,4.31,2.76,3.91,7.92,4.62,2.10,5.45,4.63,2.14,6.44,,
March,4.56,5.35,2.15,6.10,3.12,3.49,6.54,1.59,4.05,2.99,,
April,4.23,3.86,3.33,3.57,3.98,1.57,2.56,2.19,3.41,6.93,,
May,2.77,2.65,3.48,4.39,4.24,3.73,2.06,4.04,1.49,3.14,,
June,2.52,4.44,1.51,5.30,3.79,3.29,2.40,3.66,4.14,3.41,,
July,4.55,4.12,6.57,3.77,1.39,5.45,6.53,7.51,6.82,5.31,,
August,5.79,6.71,6.35,5.87,1.68,6.37,6.33,5.91,1.11,4.73,,
September,5.96,5.67,9.09,8.91,5.69,5.48,4.58,6.54,1.71,3.67,,
October,1.92,8.14,5.51,12.62,5.56,3.46,6.38,6.55,7.24,3.51,,
November,9.35,2.32,12.73,10.56,3.71,3.04,2.45,2.22,7.68,9.16,,
December,11.82,7.37,8.20,8.49,10.82,9.69,8.55,8.07,10.63,7.04,,
Total,65.06,60.68,67.07,86.25,54.15,52.11,63.21,60.64,52.78,61.43,,
Calc annual,65.06,60.68,67.07,86.25,54.15,52.11,63.21,60.64,52.78,61.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
