"SHAWS W.W. GRYFE RESERVOIR",,,,,,,,,,,,
Grid ref,NS285713,Long,-4.744914,Lat,55.904164,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.70,4.90,6.60,11.50,6.90,4.80,9.00,5.10,8.50,8.70,,
February,4.40,2.30,2.10,13.50,5.70,5.20,4.80,5.60,4.90,4.20,,
March,0.60,3.40,5.10,12.60,3.60,6.80,5.90,6.10,6.80,2.80,,
April,4.40,5.20,3.10,2.70,7.50,4.50,1.80,4.00,2.20,5.40,,
May,5.10,2.20,2.90,4.20,3.40,2.30,6.90,7.80,3.20,4.20,,
June,4.40,3.80,2.10,3.10,3.70,1.70,1.80,5.70,3.60,4.40,,
July,4.00,2.60,5.00,5.80,2.90,4.00,3.80,3.10,5.30,5.80,,
August,5.90,6.50,3.80,11.70,6.20,6.90,5.90,8.00,4.50,3.70,,
September,6.00,5.40,5.20,5.50,6.80,4.00,2.80,2.10,9.90,3.30,,
October,10.00,6.10,4.00,12.30,3.90,4.90,8.70,7.30,2.50,9.90,,
November,7.50,6.60,7.10,5.10,4.30,7.90,6.60,5.90,5.70,4.90,,
December,11.50,6.70,7.50,6.60,5.80,6.10,5.40,9.50,7.70,9.50,,
Total,73.50,55.70,54.50,94.60,60.70,59.10,63.40,70.20,64.80,66.80,,
Calc annual,73.50,55.70,54.50,94.60,60.70,59.10,63.40,70.20,64.80,66.80,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
