NORTHWICH WINNINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ643747,Long,-2.536727,Lat,53.268082,Elevation,56,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.21,1.87,1.19,4.02,2.21,2.27,3.44,1.53,4.56,2.94,1.85,0.55,0.52,2.21,3.29,3.05,1.61,4.3,3.22,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.69,0.71,2.35,2.5,0.62,1.29,1.01,3.31,3.33,1.4,2.72,1.65,3.7,2.32,2.1,1.68,2.07,0.54,0.42,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.56,1.51,1.1,3.1,3.32,1.55,0.49,2.99,1.87,1.67,1.11,1.42,2.94,1.73,1.22,2.22,1.69,1.77,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.31,1.17,2.41,2.6,0.55,1.1,0.44,2.67,2.31,1.64,2.74,1.11,1.13,3.36,1.51,1.11,1.79,1.42,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.81,0.93,1.58,2.61,1.62,1.69,1.93,0.98,2.76,3.85,2.48,2.71,3.16,1.65,0.95,1.81,2.1,6.29,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.82,1.36,2.66,5.95,2.65,0.73,2.2,3.24,1.1,3.26,3.98,4.01,2.09,5.01,3.31,0.74,2.82,1.7,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.85,0.94,4.2,5.3,2.88,2.17,4.73,1.84,5.67,0.84,4.28,4.76,2.73,4.79,3.91,4.14,1.29,2.37,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.12,1.5,1.58,2.45,3.13,3.27,3.14,3.04,4.13,4.85,4.69,2.33,4.14,3.21,2.86,1.47,2.38,1.31,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,5.42,2.24,4.28,5.19,2.12,2.69,4.43,4.45,2.82,3.59,3.09,3.5,2.63,2.34,5.12,2.35,4.41,3.66,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.48,5.42,3.4,5.16,3.26,3.01,5.15,2.19,2.75,2.77,1.81,4.28,2.7,2.98,5.24,1.4,6.01,4.43,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,3.35,2.06,1.71,3.32,2.09,4.18,3.95,3.71,4.28,1.86,1.13,3.69,2.89,4.6,2.81,2.28,2.66,2.4,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,3.11,2.95,1.95,3.58,0.81,2.82,1.11,4.13,3.26,2.32,2.3,4.91,2.79,4.92,1.49,2.61,1.67,4.23,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,31.73,22.66,28.41,45.78,25.26,26.77,32.02,34.08,38.84,30.99,32.18,34.92,31.42,39.12,33.81,24.86,30.5,34.42,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the same as the other record on the basis that the observer, H Neumann was involved with salt mines. Stated altitude varies. NGR could be +/- 1km. Gauge moved to Wincham Hall. 2.5 miles E on 14 March 1888.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
