RADFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SP328803,Long,-1.5191334,Lat,52.419715,Elevation,308,ft,,,,,,,,,,,,
Station no,RR8272,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.15,2.29,1.98,3.18,1.99,2.82,1.33,0.75,3.42,2.03,,,,,,
February,,,,0.25,2.06,2.22,2.37,1.26,1.67,2.02,1.36,1.12,2.16,0.85,,,,,,
March,,,,0.84,3.03,1.04,1.38,2.48,2.08,1.82,1.16,1.19,1.85,2.07,,,,,,
April,,,,1.62,1.59,1.03,1.11,2.44,1.57,1.22,0.84,2.44,2.55,0.6,,,,,,
May,,,,0.59,1.25,1.76,0.93,1.91,0.89,4.45,0.65,1.19,2.19,2.07,,,,,,
June,,,,4.59,1.63,2.51,2.7,2.71,0.35,1.35,0.7,2.53,4.12,2.84,,,,,,
July,,,,0.75,0.55,3.39,2.31,2.45,0.17,0.92,1.3,4.72,4,2.32,,,,,,
August,,,,2.64,0.89,4.03,3.78,2.1,4.23,0.83,2.18,0.55,2.18,3.55,,,,,,
September,,,,2.31,2.05,0.26,5.36,2.97,2.59,2.61,1.44,4.57,2.16,1.45,,,,,,
October,,,,2.73,2.17,5.18,2.16,2.87,2.08,0.98,3.81,1.3,3.44,1.99,,,,,,
November,,,,2.24,2.44,2.82,1.82,0.53,1.32,1.94,1.62,0.75,4.07,0.89,,,,,,
December,,,,1.31,1.5,1.28,1.64,1.71,4.42,3.46,2.05,1.21,3.73,0.41,,,,,,
Total,,,,,20.31,27.81,27.54,26.61,23.36,24.42,18.44,22.32,35.87,21.07,,,,,,
