"DARVEL, KIRKLAND PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5230,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.36,7.27,
February,,,,,,,,,,2.26,0.35,
March,,,,,,,,,,1.34,2.88,
April,,,,,,,,,,2.02,1.47,
May,,,,,,,,,,3.82,1.63,
June,,,,,,,,,,3.13,3.41,
July,,,,,,,,,,3.89,3.15,
August,,,,,,,,,,7.05,6.23,
September,,,,,,,,,,1.95,3.31,
October,,,,,,,,,,6.74,8.30,
November,,,,,,,,,,7.49,7.02,
December,,,,,,,,,,11.45,5.43,
Total,,,,,,,,,,52.50,50.45,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.50,50.45,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,
