"DARVEL, KIRKLAND PARK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 56770 37738,Long,-4.275518,Lat,55.612096,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.36,7.27,5.85,9.13,4.88,6.69,3.53,5.93,5.44,7.91,4.02,2.15,0.67,6.37,4.68,5.98,4.46,4.46,3.46,8.26,6.32,3.1
February,,,,,,,,,,2.26,0.35,5.68,0.04,5.01,1.08,6.99,2.71,6.07,2.49,6.06,1.2,2.88,1.3,5.09,1.99,6.21,3.41,0.65,3.72,5.45,4.33
March,,,,,,,,,,1.34,2.88,1.03,3.26,3.58,3.18,2.7,3.26,1.04,3.39,4.36,6.58,2.86,2.02,2.3,0.61,3.39,2.74,3.42,4.05,3.11,4.14
April,,,,,,,,,,2.02,1.47,2.73,4.35,3,4.25,3.24,1.5,2.38,0.93,2.32,2.84,2.13,2.45,3.23,3.34,1.73,2.82,5.23,3.66,4.98,3.87
May,,,,,,,,,,3.82,1.63,3.43,2.8,2.66,3.93,0.83,2.36,1.77,4.84,0.46,1.06,3.36,2.56,3.96,3.44,4.86,0.64,4.1,1.45,1.85,1.87
June,,,,,,,,,,3.13,3.41,6.97,1.94,3.06,2.38,5.79,1.95,3.58,5.97,1.22,0.9,1.15,1.35,4.28,4.37,4.87,3.57,3.22,7.12,1.41,
July,,,,,,,,,,3.89,3.15,4.05,5.58,5.21,3.05,2.59,7.72,4.15,6.23,5.4,4.91,3.65,3.83,2.78,4.1,3.37,4.03,2.6,3.54,1.71,
August,,,,,,,,,,7.05,6.23,1.44,2.38,5,5.8,3.41,5,3.99,3.08,2.23,3.86,7.38,3.75,5.11,4.62,1.71,3.65,0.12,6.17,5.08,
September,,,,,,,,,,1.95,3.31,1.59,5.98,1.09,5.58,7.69,5.79,3.5,4.13,1.81,5.74,1.72,5.45,3.32,5.24,5.66,7.16,5.42,8.09,1.39,
October,,,,,,,,,,6.74,8.3,4.99,7.9,3.95,8.39,9.85,7.32,3.68,11.95,1.77,4.44,4.07,7.62,9.64,6.09,6.65,0.22,2.29,6.06,5.26,
November,,,,,,,,,,7.49,7.02,7.62,4.41,1.72,1.66,6.69,4.96,1.04,8.91,8.45,5.38,2.15,1.26,3.25,8.04,0.64,5.97,6.87,3.82,5.23,
December,,,,,,,,,,11.45,5.43,6.5,9.36,1.71,6.4,3.66,7.16,2.28,2.88,3.08,6.58,2.58,4.24,2.87,5.37,2.64,3.77,2.79,4.95,9.26,
Total,,,,,,,,,,52.5,50.45,51.88,57.13,40.87,52.39,56.97,55.66,38.92,62.71,41.18,45.64,34.6,42.2,50.51,53.19,46.19,42.44,40.17,60.89,51.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,646054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
