"DESBOROUGH, COUNCIL SCHOOL",,,,,,,,,,,,
Grid ref,SP804833,Long,-0.818613,Lat,52.441763,,,,,,,
Station no,1132,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.15,,
February,,,,,,,,,,0.61,,
March,,,,,,,,,2.88,2.84,,
April,,,,,,,,,3.22,1.25,,
May,,,,,,,,,1.51,1.56,,
June,,,,,,,,,1.24,3.14,,
July,,,,,,,,,2.05,2.66,,
August,,,,,,,,,2.80,2.23,,
September,,,,,,,,,1.60,2.43,,
October,,,,,,,,,1.37,3.45,,
November,,,,,,,,,0.89,0.73,,
December,,,,,,,,,1.42,3.88,,
Total,,,,,,,,,,25.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.98,25.93,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
