MORETONHAMPSTEAD-STINHALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX706854,Long,-3.83186,Lat,50.6541,Elevation,844,ft,,,,,,,,,,,,,
Station no,1750,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.51,6.79,2.07,7.63,9.93,12.14,9.51,9.65,2.66,9.91,4.34,9.88,4.82,6.8,,,,,,
February,,0.44,6.02,7.58,3.18,8.93,4.86,6.12,6.15,6.42,2.21,4.48,0.07,4.5,0.28,,,,,,
March,,3.68,5.1,1.44,3.13,0.96,1.32,6.44,6.79,0.37,3.6,2.91,3.12,6.01,4.17,,,,,,
April,6.75,0.92,5.42,3.84,6,4.65,2.84,2.62,3.11,1.13,4.77,4.16,3.99,1.23,4.02,,,,,,
May,2.65,2.39,0.67,2.37,5.09,5.73,2.24,0.77,0.82,4.54,1.94,3.71,3.55,3.95,2.89,,,,,,
June,4.17,0.07,1.68,0.26,2.92,0,3.78,3.36,2.65,2.98,0.65,2.98,2.86,2.49,2.21,,,,,,
July,5.5,1.39,4.46,1.5,4.4,4.79,1.6,4.92,2,2.12,3.1,5.25,3.03,3,0.45,,,,,,
August,1.28,2.4,3.29,2.74,4.42,2.11,2.15,4.76,2.94,2.37,5,6.73,2.05,2.26,3.74,,,,,,
September,2.25,1.06,3.69,4.06,6.3,4.66,1.55,7.41,2.19,0.9,8.25,1.99,5.83,1.89,3.36,,,,,,
October,6.68,1.71,0.91,9.98,7.96,6.45,4.84,3.39,7.24,8.49,6.89,1.18,10.6,5.66,4.19,,,,,,
November,3.47,5.21,2.48,5.33,6.77,4.61,13.35,4.83,10.43,16.32,10.69,12.93,3.55,1.51,2.4,,,,,,
December,7.05,3.78,6.01,5.84,9.94,9.11,0.96,6.65,7.34,17.02,6.26,3.34,4.21,2.4,16.66,,,,,,
Total,,27.56,46.52,47.01,67.74,61.93,51.63,60.78,61.31,65.32,63.27,54,52.74,39.72,51.17,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1936 Letter says Rain gauge abolished end of 1934,,,,,,,,,,,,,,,,,,,,,
