"THIRSK MOUNT ST JOHN",,,,,,,,,,,,
Grid ref,SE471850,Long,-1.278489,Lat,54.258510,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.15,0.38,2.73,0.63,1.20,0.59,,
February,,,,,2.19,1.03,1.66,1.50,1.96,0.79,,
March,,,,,1.52,1.94,2.07,0.93,2.76,4.24,,
April,,,,,1.61,2.57,1.11,2.29,3.13,1.93,,
May,,,,,3.57,1.12,2.92,3.06,1.34,1.03,,
June,,,,,1.16,1.26,1.34,3.42,0.25,2.75,,
July,,,,,1.58,1.23,1.47,1.61,3.79,2.74,,
August,,,,,3.22,2.63,2.36,2.08,1.67,3.38,,
September,,,,,1.61,2.72,0.47,0.75,2.44,2.15,,
October,,,,,0.58,1.97,5.09,4.24,1.06,2.69,,
November,,,,,2.26,4.40,2.60,2.54,1.56,0.81,,
December,,,,,2.26,0.31,2.29,2.97,1.23,3.57,,
Total,,,,,23.71,21.56,26.11,26.02,22.39,26.67,,
Calc annual,0.00,0.00,0.00,0.00,23.71,21.56,26.11,26.02,22.39,26.67,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
