FELIXKIRK - MOUNT ST JOHN - NO. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE474848,Long,-1.274,Lat,54.257,Elevation,540,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,0.59,2.89,1.64,3.22,2.89,1.51,3.60,0.42,3.68,2.30,3.59,3.26,2.40,3.48,1.68,2.01,1.70,2.66,2.44,4.04,2.94,3.99,2.61,1.61,1.98,1.84,2.80,3.68,3.21,2.75,4.94,2.77,3.06,3.49,3.71,1.82,4.71,1.96,2.67,5.66,0.82,1.49,1.83,1.73,0.88,2.69,1.57,4.80,1.56,2.50,2.67,4.65
February,0.77,2.57,0.93,1.99,1.05,1.64,3.34,2.96,0.80,2.03,1.06,0.77,0.19,2.08,4.44,1.59,3.42,1.63,1.38,1.31,1.11,1.32,1.72,0.97,5.66,1.42,3.01,3.01,3.92,2.16,1.52,1.56,4.93,1.85,0.62,2.16,1.89,0.97,2.81,1.12,0.61,3.20,2.47,0.67,1.65,2.43,2.26,2.21,2.34,3.80,0.56,2.33
March,3.66,0.71,1.86,3.14,2.45,1.88,1.36,2.75,2.95,1.23,2.87,2.22,1.03,1.73,1.54,1.12,1.42,0.80,2.36,2.70,0.23,2.77,1.80,2.15,1.89,2.47,0.85,1.91,2.62,0.23,2.43,2.03,2.05,1.87,0.44,0.66,0.41,1.32,4.37,1.01,1.52,1.03,2.80,1.90,0.09,1.94,2.03,0.60,1.49,3.00,1.14,1.07
April,2.12,1.70,1.39,0.10,3.38,0.58,1.19,1.10,1.73,1.49,1.84,2.85,1.17,2.14,1.59,1.89,2.74,0.64,1.51,0.90,1.30,4.25,4.25,1.23,1.44,2.61,2.77,1.60,2.56,0.28,1.07,1.52,1.66,0.94,1.43,2.19,1.39,2.08,2.92,1.42,2.29,1.91,1.31,1.47,2.51,0.25,1.51,1.40,0.54,1.05,2.23,0.86
May,0.99,2.08,0.96,2.49,1.78,1.69,1.27,2.33,0.96,2.57,0.83,2.28,1.83,0.78,2.11,4.78,3.38,2.52,1.75,1.46,1.66,1.34,2.93,4.69,2.37,0.84,1.27,1.26,2.73,3.47,1.75,0.98,1.79,2.30,2.54,1.03,2.32,2.12,2.22,1.01,1.34,1.10,4.93,1.61,1.84,2.96,2.06,0.63,1.37,3.15,0.59,0.98
June,2.63,1.59,3.34,6.02,1.90,1.82,0.27,2.61,1.77,1.13,1.32,1.81,0.40,2.02,0.84,1.92,0.11,4.51,3.23,4.06,1.86,2.05,4.76,1.00,1.68,1.49,3.37,3.58,1.45,2.49,2.46,0.64,0.66,0.69,1.33,2.83,3.27,2.10,2.16,5.58,0.81,1.95,1.28,2.09,4.13,2.53,2.45,4.13,2.08,2.79,2.05,0.58
July,2.78,2.62,0.78,4.17,0.58,4.66,4.11,2.43,1.35,3.56,2.80,4.48,1.41,4.72,2.70,2.55,1.99,1.87,4.58,0.61,2.14,6.89,3.80,6.12,2.46,3.46,1.14,4.53,1.26,2.84,4.25,6.18,1.99,3.89,0.75,2.69,1.78,3.50,1.61,1.59,2.35,3.38,3.06,1.71,3.47,2.78,1.19,4.91,4.27,2.65,1.40,5.44
August,3.47,3.77,2.95,5.10,1.00,1.67,3.23,2.01,7.08,2.37,2.27,2.54,4.14,2.65,3.41,3.26,2.59,3.10,5.81,5.10,2.92,2.90,3.40,1.74,0.45,2.66,3.26,2.96,1.39,2.74,2.03,1.16,3.73,2.94,3.39,3.34,4.38,3.90,0.23,3.19,2.43,4.50,5.56,2.25,3.64,6.05,0.77,8.19,5.06,3.88,0.27,2.99
September,2.27,0.24,2.51,2.15,1.34,1.41,0.82,2.36,0.64,5.44,1.30,1.30,1.31,2.39,2.82,2.52,3.10,1.84,5.25,0.46,0.77,4.38,4.54,2.37,1.50,1.91,4.31,2.76,1.21,2.41,2.06,1.54,0.66,1.84,3.11,5.22,1.50,3.50,1.56,1.82,0.49,3.33,2.66,4.23,1.85,2.01,1.38,2.44,3.25,3.16,0.24,3.01
October,2.93,2.66,2.18,2.61,2.21,1.98,1.10,3.44,3.24,1.84,5.14,2.52,1.37,1.27,2.71,4.29,2.78,2.73,2.53,3.63,2.73,2.41,1.25,3.55,4.29,2.77,3.79,1.50,1.97,3.74,3.65,3.21,3.64,2.79,1.81,3.03,2.53,0.65,0.64,1.13,2.39,1.10,1.59,4.14,2.01,4.15,1.64,1.61,2.03,1.81,1.68,6.75
