FELIXKIRK - MOUNT ST JOHN - HOWARD & WILSON GAUGE,,,,,,,,,,,,,
Grid ref,SE474848,Long,-1.274,Lat,54.257,Elevation,541,ft,,,,,
Station no,3431,,,,,,,,,,,,
,,,,,,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.33,3.52,3.23,2.41,3.35,1.70,2.02,1.76,2.69,2.47,4.10,3.03,4.02
February,2.04,1.03,0.81,0.20,2.09,4.46,1.67,3.43,1.61,1.39,1.27,1.11,1.32
March,1.25,2.84,2.22,1.02,1.74,1.54,1.15,1.52,0.79,2.39,2.62,0.23,2.71
April,1.47,1.80,2.83,1.18,2.19,1.60,1.85,2.78,0.67,1.53,0.89,1.27,4.23
May,2.57,0.78,2.29,1.70,0.79,2.15,4.72,3.38,2.52,1.76,1.44,1.63,1.31
June,1.09,1.29,1.74,0.34,1.96,0.84,1.86,0.10,4.47,3.15,4.02,1.88,2.07
July,3.46,2.77,4.23,1.36,4.72,2.68,2.54,1.93,1.90,4.57,0.59,2.15,6.92
August,2.29,2.22,2.53,4.06,2.67,3.46,3.25,2.54,3.02,5.77,5.09,2.93,2.88
September,5.33,1.31,1.25,1.31,2.29,2.88,2.59,3.09,1.83,5.26,0.45,0.74,4.36
October,1.73,5.14,2.52,1.34,1.29,2.64,4.31,2.74,2.71,2.52,3.61,2.74,2.43
November,1.63,2.62,1.18,2.03,1.43,3.21,1.66,2.68,5.03,3.30,2.39,3.38,3.63
December,3.50,3.13,3.58,2.09,3.49,3.05,3.43,2.86,1.08,2.01,1.55,4.58,2.75
Total,28.69,28.45,28.41,19.04,28.01,30.21,31.05,28.81,28.32,36.12,28.02,25.67,38.63
,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/294,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/179,,,,,,,,,,,,,
,,,,,,,,,,,,,
# The May 1921 reading is part-estimated and has been retained.,,,,,,,,,,,,,
