FELIXKIRK - MOUNT ST JOHN - NEGRETTI & ZAMBRA Gauge 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE474848,Long,-1.274,Lat,54.257,Elevation,523,ft,,,,,,,,,,,,,,,,,,,,,
Station no,3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,1.13,0.81,2.22,2.03,0.45,2.80,0.60,1.28,0.59,3.63,1.76,3.21,2.61,1.49,3.48,0.35,4.19,2.23,3.36,3.07,2.44,2.91,1.70,1.74,1.61,2.16,2.33,,2.90
February,2.37,1.70,1.25,2.16,1.08,1.53,1.51,2.00,0.81,2.05,0.88,1.99,0.90,1.35,2.82,3.03,0.76,1.97,1.06,0.84,0.19,2.06,3.88,1.79,3.21,1.58,1.29,,1.07
March,1.60,0.75,2.37,1.58,1.95,2.18,0.93,2.75,4.23,0.64,1.87,2.83,2.09,1.65,1.39,3.10,2.86,1.20,2.77,2.15,0.94,1.81,1.49,1.14,1.61,0.82,2.29,,0.25
April,1.91,1.63,1.70,1.57,2.58,1.16,2.29,3.15,2.04,1.68,1.41,0.09,3.03,0.47,1.13,1.06,1.85,1.50,1.85,2.90,1.18,2.18,1.51,1.79,2.72,0.65,1.56,,1.21
May,1.17,2.29,3.10,3.63,1.22,2.93,3.06,1.46,1.18,2.05,0.88,2.46,1.61,1.57,1.28,2.32,0.96,2.48,0.86,2.27,1.68,0.80,2.19,4.63,3.39,2.53,1.77,,1.62
June,1.66,1.92,1.90,1.22,1.42,1.49,3.42,0.39,2.85,1.60,3.35,5.97,1.94,1.83,0.27,2.49,1.73,1.13,1.38,1.67,0.40,2.03,0.86,1.89,0.10,4.61,3.11,,1.89
July,1.11,2.54,4.01,1.71,1.41,1.57,1.61,3.94,2.76,2.56,0.76,3.92,0.56,4.38,4.05,2.35,1.24,3.41,2.73,4.32,1.39,4.69,2.67,2.43,2.02,1.90,4.58,,2.07
August,1.65,2.49,2.76,3.20,2.54,2.36,2.08,1.73,3.53,3.38,2.87,4.73,0.93,1.52,2.94,1.91,6.66,2.25,2.19,2.44,4.02,2.68,3.26,3.21,2.48,3.01,5.65,,2.85
September,1.23,0.54,3.51,1.62,2.79,0.47,0.75,2.45,2.26,0.19,2.41,1.97,1.29,1.29,0.80,2.24,0.60,5.19,1.26,1.31,1.27,2.28,2.51,2.38,2.93,1.83,5.09,,0.76
October,2.43,2.61,7.16,0.61,1.96,4.95,4.24,1.12,2.69,2.59,2.01,2.30,2.20,1.96,1.00,2.96,2.99,1.74,5.49,2.29,1.34,1.25,2.50,4.23,2.60,2.54,2.41,,2.60
November,3.98,1.27,2.16,2.54,4.17,2.68,2.54,1.55,0.82,2.92,3.91,3.11,1.95,2.54,2.18,2.52,1.93,1.53,2.76,1.09,2.10,1.43,3.03,1.53,2.72,4.47,3.18,,3.09
December,3.88,2.12,1.00,2.20,0.31,2.58,2.97,1.31,3.60,2.58,3.28,0.90,1.86,4.61,4.71,1.92,1.96,3.50,2.79,3.56,2.11,3.46,2.68,2.93,3.04,1.14,2.04,,3.50
Total,24.12,20.67,33.14,24.07,21.88,26.70,26.00,23.13,27.36,25.87,25.39,33.48,20.97,24.66,26.05,26.25,27.73,28.13,28.50,27.91,19.06,27.58,28.28,29.69,28.43,27.24,35.30,,23.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# There were multiple gauges running in parallel at Mount St. John, and the rainfall sheet headings are confusing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Consequently the linkage of rainfall sheets into sequences presented here may not be completely correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for March-December 1907 are duplicated on a second sheet for the Mount St John site (TYRain_1900-1909_22_pt1 page 121) and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
