BATHEASTON-MUMFORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST789676,Long,-2.30475,Lat,51.40774,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1987/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.46,3.38,5.52,2.39,4.01,3.48,5.37,1.83,1.63,2.2,2.43,6.46,0.98,0.18,2.78,2.82,,,,,,,,
February,,,,,,,5.04,0.97,1.55,3.11,2.96,0.38,1.71,0.72,2.96,3.08,1.07,1.63,1.3,5.32,4.28,0.56,,,,,,,,
March,,,,,,,4.02,0.18,1.73,2.58,4.3,1.98,1.25,0.51,0.89,0.78,5.19,1.33,1.6,0.85,3.22,2.77,,,,,,,,
April,,,,,,,3.11,0.15,3.74,2.92,1.36,1.54,0.74,1.78,0.95,2,2.3,1.92,1.73,2.53,3.99,1.46,,,,,,,,
May,,,,,,,2.45,1.88,1.09,2.08,1.68,4.94,2.85,0.95,2.47,4.2,2.83,4.45,3,2.66,2.19,4.58,,,,,,,,
June,,,,,,,0.78,1.23,2.39,0.62,2.11,0.23,1.88,1.97,3.59,2.3,1.61,2.49,0.37,2.04,1.43,2.58,,,,,,,,
July,,,,,,,2.82,3.88,4.65,3.75,1.55,2.83,2.18,2.11,1.39,1.34,2.76,0.83,1.48,4.66,1.25,1.33,,,,,,,,
August,,,,,,,1.47,2.7,2.4,0.09,5.09,4.61,3.07,2.44,2.52,5,0.96,2.9,1.49,5.53,4.98,5.7,,,,,,,,
September,,,,,,3.78,2.59,2.96,1.31,1.5,0.37,1.93,2.59,2.53,2.01,3.97,1.4,2.3,1.46,4.77,3.97,3.68,,,,,,,,
October,,,,,,1.61,3.45,4.84,3.4,3.61,2.28,3.86,3.73,4.45,3.78,1.19,0.29,3.42,6.51,1.61,0.5,4.29,,,,,,,,
November,,,,,,3.76,1.72,4.24,5.84,8.77,1.81,1.41,2.38,5.69,0.33,4.92,2.19,1.65,3.41,5.7,7.27,4.67,,,,,,,,
December,,,,,,2.65,2.14,3.85,2.09,1.6,1.95,3.7,1.61,2.4,4.03,2.46,2.86,4.28,1.62,2.36,2.48,2.8,,,,,,,,
Total,,,,,,,34.05,30.26,35.71,33.02,29.47,30.89,29.36,27.38,26.55,33.44,25.89,33.66,24.95,38.21,38.34,37.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Moved from Bath Claverton Lodge Stn No 1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mumfords Shockerwick Lane Assumed to be where Mumford's Vineyard is now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Dec Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
