GRIMSBY - PORTLAND PLACE,,,,,,,,,
Grid ref,TA272080,Long,-0.081,Lat,53.553,Elevation,13,ft,
Station no,2575,,,,,,,,
,,,,,,,,,
,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.49,1.17,2.49,3.65,3.45,,,
February,,2.25,1.28,2.89,3.26,2.44,,,
March,,2.41,2.52,0.93,0.98,2.93,,,
April,,0.96,2.04,2.71,1.87,3.42,,,
May,,2.06,1.14,0.48,2.41,4.01,,,
June,0.41,0.93,1.54,2.51,4.28,1.11,,,
July,2.37,1.42,1.10,0.41,4.31,2.46,,,
August,1.71,0.58,2.44,1.85,1.39,0.68,,,
September,1.95,2.81,2.09,5.37,1.95,2.24,,,
October,3.06,4.18,1.72,4.20,2.23,2.35,,,
November,1.60,1.98,2.08,4.16,3.07,2.96,,,
December,1.09,0.70,3.44,2.36,1.57,3.70,,,
Total,,21.77,22.56,30.36,30.97,31.75,,,
,,,,,,,,,
TYRain_1931-1940_15_pt1/171,,,,,,,,,
,,,,,,,,,
# The gauge came from Abbey Road in May 1932.,,,,,,,,,
# The rainfall sheet is shared with Abbey Road.,,,,,,,,,
