GRIMSBY - ABBEY ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA268089,Long,-0.087,Lat,53.561,Elevation,23,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,2.11,1.47,0.58,2.63,0.88,1.51,0.67,2.16,1.07,2.63,3.69,1.82,2.79,0.75,2.64,1.83,2.80,2.13,2.53,3.08,1.31,1.72,1.51,2.91,1.62,3.54,2.02,2.40,2.95,1.02
February,0.71,2.41,0.93,2.37,1.89,2.06,1.03,1.81,1.02,1.41,0.80,0.92,3.65,3.34,0.81,1.34,2.75,2.18,0.38,2.61,4.01,1.20,2.15,1.24,1.39,2.11,0.70,0.97,2.79,0.91
March,2.39,1.71,1.52,1.72,1.21,2.06,3.42,0.57,2.24,2.70,3.01,2.14,1.54,4.45,1.97,0.80,2.92,2.30,0.91,2.41,1.45,0.60,1.28,0.45,1.49,2.19,0.09,1.77,0.69,1.86
April,1.95,0.86,1.65,0.55,1.97,2.12,1.65,1.73,1.15,0.24,2.04,0.95,0.58,1.31,1.73,1.11,1.86,3.67,1.31,1.15,1.56,1.79,2.20,1.95,1.87,0.96,0.68,2.81,2.79,2.96
May,2.92,1.58,0.97,1.25,3.29,1.06,1.37,2.66,0.65,2.43,1.57,2.07,1.68,2.75,0.88,1.81,0.71,3.35,2.01,1.50,3.09,2.57,2.69,1.94,1.27,1.18,1.24,1.72,2.33,
June,2.27,0.47,1.99,1.37,2.08,1.19,2.45,1.79,4.63,4.71,0.84,1.38,0.70,3.69,2.24,0.29,0.90,1.04,0.23,1.07,0.84,1.27,0.16,3.56,3.12,2.16,1.08,1.68,3.39,
July,2.24,3.01,1.15,1.16,0.96,2.76,4.28,2.72,0.96,2.46,0.64,2.78,4.99,1.41,0.75,2.82,2.65,2.81,0.69,4.06,2.82,2.41,1.12,2.20,2.79,0.56,1.28,5.01,5.32,
August,5.37,4.28,2.26,2.08,1.55,1.62,5.23,4.12,1.28,4.18,1.18,1.11,1.96,2.47,5.03,2.39,2.70,1.39,2.56,2.29,2.54,2.11,1.10,2.07,4.21,2.87,1.62,3.04,5.17,
September,3.44,1.59,1.26,0.44,0.51,2.03,1.30,0.44,2.33,1.84,2.53,1.06,1.17,0.96,0.79,3.53,1.13,1.18,0.49,2.39,3.34,3.03,2.68,0.79,3.61,0.44,1.18,4.09,2.67,
October,5.43,0.60,1.90,3.68,3.60,0.94,2.98,2.08,2.05,2.68,2.84,2.33,1.46,1.85,2.33,1.24,2.79,1.41,1.36,1.71,2.30,3.74,2.11,3.16,1.64,3.27,2.59,2.06,1.00,
November,2.39,1.61,2.64,3.27,1.75,1.11,0.99,3.74,2.83,3.01,2.20,2.19,3.04,2.46,1.33,1.59,2.68,0.42,1.98,1.27,2.96,1.63,2.14,2.92,2.96,2.61,3.67,3.05,2.17,
December,0.88,1.57,0.43,2.44,2.02,1.04,3.80,2.81,3.14,2.82,0.76,5.51,4.66,2.92,1.42,2.64,2.88,2.69,1.88,2.37,2.87,2.12,2.23,0.80,2.48,1.63,4.32,1.66,1.32,
Total,32.10,21.16,17.28,22.96,21.71,19.50,29.17,26.63,23.35,31.11,22.10,24.26,28.22,28.36,21.92,21.39,26.77,24.57,16.33,25.91,29.09,24.19,21.37,23.99,28.45,23.52,20.47,30.26,32.59,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The location is Ernecroft, 9 Abbey Road.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# A new gauge was installed in May 1916.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to Portland Place in May 1932.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1930s sheet is shared with Portland Place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
