"GRIMSBY ABBEY ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2575,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.13,2.53,3.08,1.31,1.72,1.51,2.91,1.62,3.54,2.02,2.40,
February,2.18,0.38,2.61,4.01,1.20,2.15,1.24,1.39,2.11,0.70,0.97,
March,2.30,0.91,2.41,1.45,0.60,1.28,0.45,1.49,2.19,0.09,1.77,
April,3.67,1.31,1.15,1.56,1.79,2.20,1.95,1.87,0.96,0.68,2.81,
May,3.35,2.01,1.50,3.09,2.57,2.69,1.94,1.27,1.18,1.24,1.72,
June,1.04,0.23,1.07,0.84,1.27,0.16,3.56,3.12,2.16,1.08,1.68,
July,2.81,0.69,4.06,2.82,2.41,1.12,2.20,2.79,0.56,1.28,5.01,
August,1.39,2.56,2.29,2.54,2.11,1.10,2.07,4.21,2.87,1.62,3.04,
September,1.18,0.49,2.39,3.34,3.03,2.68,0.79,3.61,0.44,1.18,4.09,
October,1.41,1.36,1.71,2.30,3.74,2.11,3.16,1.64,3.27,2.59,2.06,
November,0.42,1.98,1.27,2.96,1.63,2.14,2.92,2.96,2.61,3.67,3.05,
December,2.69,1.88,2.37,2.87,2.12,2.23,0.80,2.48,1.63,4.32,1.66,
Total,24.57,16.33,25.91,29.09,24.19,21.37,23.99,28.45,23.52,20.47,30.26,
Calc annual,24.57,16.33,25.91,29.09,24.19,21.37,23.99,28.45,23.52,20.47,30.26,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
