DOUNE,,,,,,,,,,,,
Grid ref,NN728016,Long,-4.051273,Lat,56.189977,,,,,,,
Station no,RR6153,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.40,1.53,4.64,2.28,4.26,4.84,,
February,,,,,3.22,1.95,2.59,2.85,2.39,1.69,,
March,,,,,1.91,4.03,2.75,3.45,3.76,2.61,,
April,,,,,5.15,2.15,1.32,2.21,1.23,4.45,,
May,,,,,4.00,2.06,4.87,3.99,2.81,3.96,,
June,,,,,1.96,0.61,1.62,4.80,2.07,1.97,,
July,,,,,2.62,2.52,2.05,3.67,2.85,2.46,,
August,,,,,4.72,4.42,4.75,5.62,3.71,2.80,,
September,,,,,4.02,1.82,1.93,1.54,5.64,1.84,,
October,,,,,1.79,2.80,5.11,5.49,1.34,6.42,,
November,,,,,1.68,3.84,3.70,2.51,3.47,1.74,,
December,,,,,4.48,3.64,2.34,5.14,3.45,5.10,,
Total,,,,,38.95,31.37,37.67,43.55,36.98,39.88,,
Calc annual,0.00,0.00,0.00,0.00,38.95,31.37,37.67,43.55,36.98,39.88,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
