DOUNE,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 77683 01106,Long,-3.972407,Lat,56.186817,Elevation,250,ft,,,,,,,,,,,,
Station no,RR6153,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,3.4,1.53,4.64,2.28,4.26,4.84,4.98,2.41,5.06,,,,,,,
February,,,,,3.22,1.95,2.59,2.85,2.39,1.69,4.42,5.86,3.47,,,,,,,
March,,,,,1.91,4.03,2.75,3.45,3.76,2.61,1.99,1.71,4.59,,,,,,,
April,,,,,5.15,2.15,1.32,2.21,1.23,4.45,4.48,2.14,0.74,,,,,,,
May,,,,,4,2.06,4.87,3.99,2.81,3.96,1.83,1.7,1.93,,,,,,,
June,,,,,1.96,0.61,1.62,4.8,2.07,1.97,2.24,2.11,5.09,,,,,,,
July,,,,,2.62,2.52,2.05,3.67,2.85,2.46,5.02,2.61,1.67,,,,,,,
August,,,,,4.72,4.42,4.75,5.62,3.71,2.8,8.03,2.71,3.95,,,,,,,
September,,,,,4.02,1.82,1.93,1.54,5.64,1.84,1.67,1.93,2.55,,,,,,,
October,,,,,1.79,2.8,5.11,5.49,1.34,6.42,1.9,2.91,3.93,,,,,,,
November,,,,,1.68,3.84,3.7,2.51,3.47,1.74,4.12,5.51,4.34,,,,,,,
December,,,,,4.48,3.64,2.34,5.14,3.45,5.1,3.48,5.62,9.28,,,,,,,
Total,,,,,38.95,31.37,37.67,43.55,36.98,39.88,44.16,37.22,46.6,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6153,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
