CARNWATH LANARKSHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 97591 46446,Long,-3.631045,Lat,55.700617,Elevation,700,ft,,,,,,,,,,,,
Station no,5167/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,4.98,3.53,2.36,2.83,5.66,5.23,3.21,5.22,,,,
February,,,,,,,,,4.38,4.82,2.23,3.51,2.22,1.3,1.5,1.58,,,,
March,,,,,,,,,3.88,1.08,1.1,3.04,2.61,2.48,2.21,1.15,,,,
April,,,,,,,,,3.72,1.02,0.68,3.05,1.27,0.27,1.77,1.02,,,,
May,,,,,,,,,2.75,1.18,1.69,0.45,3.06,2.56,1.21,1.9,,,,
June,,,,,,,,,0.72,2.02,2.31,2.12,5.21,1.37,1.06,2.94,,,,
July,,,,,,,,,0.48,0.71,2.21,4.07,3.71,4.41,3.05,3.32,,,,
August,,,,,,,,,3.8,1.21,1.23,2.98,3.78,4.05,5.21,1.52,,,,
September,,,,,,,,,2.52,3.82,2.6,1.99,5.08,4.11,3.32,4.98,,,,
October,,,,,,,,,3.45,1.73,2.8,2.52,2.93,5.78,4.86,3.71,,,,
November,,,,,,,,,2.69,4.5,1.65,2.98,4.78,2.41,3.72,4.31,,,,
December,,,,,,,,,4.47,4.44,2.34,3.7,4.23,2.66,2.49,2.36,,,,
Total,,,,,,,,,37.84,30.06,23.2,33.24,44.54,36.63,33.61,34.01,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5167/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
