STROME FERRY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 865 346,Long,-5.549609,Lat,57.352083,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,9.57,12.27,12.74,6.32,7.45,6.71,8.46,3.01,5.76,1.28,6.6,6.47,10.17,4.36,6.57,7.31,5.53,5.85,13.55,5.66,8.14,5.98,,,,,,
February,,,4.1,1.68,2.69,3.39,5.48,8.02,4.27,2.75,8.31,2.94,6.37,6.35,6.01,8.91,3.26,6.37,3.65,5.12,1.3,3.54,2.72,5.43,,,,,,
March,,,3.71,2.8,11.64,2.66,8.87,3.87,4.77,4.74,2.5,5.01,7.88,4.18,4.98,5.1,3.28,2.96,4.23,6.22,6.94,3.74,2.4,4.06,,,,,,
April,,,2.96,2.96,6.07,2.9,2.84,1.16,1.74,0.57,5.16,1.04,3.09,1.91,2.46,1.89,4.45,3.94,3.06,2.21,2.47,1.34,1.72,1.9,,,,,,
May,,,3.92,3.3,3.11,5.64,1.74,3.82,3.43,3.31,2.58,3.29,3.26,3.25,4.34,4.26,3.49,2.96,3.85,2.19,1.98,1.65,5.11,2.69,,,,,,
June,,,6.88,4.65,3.84,2.85,5.95,9.66,2.45,2.07,2.33,5.49,4.48,2.96,3.13,4.14,3.42,2.26,1.64,0.76,5.6,2.24,1.72,1.91,,,,,,
July,,,3.5,3.82,4.77,2.71,4.72,5.64,2.51,6.98,2.76,8.4,6.6,2.62,5.57,2.76,4.94,4.75,3.37,1.07,6.94,4.11,3.56,3.74,,,,,,
August,,,3.29,7.17,6.15,6.66,2.9,3.96,3.11,5.14,2.35,4.51,3.81,7.74,6.07,2.37,3.79,4.2,5.06,6.83,6.01,6.56,6.25,5.48,,,,,,
September,,,10.87,4.71,11.65,4.04,3.74,3.17,7.16,8.4,4.42,1.93,6.28,3.26,5.29,9.97,6.15,3.89,3.19,4.31,5.52,8.29,9.45,8.46,,,,,,
October,,,8.08,11.66,13.36,4.15,7.04,9.26,7.78,4.14,2.58,3.4,3.33,6.81,8.88,6.72,5.78,5.84,9.53,3.81,10.41,7.5,5.34,,,,,,,
November,,,8.92,7.64,7.22,5.81,2.09,12.92,4.46,3.38,8.71,10.34,10.46,10.25,9.89,4.88,8.67,3.58,7.07,4.96,7.81,6.47,5.89,,,,,,,
December,,,5.9,9.37,5.12,7.88,3.86,10.72,5.98,5.92,5,8.2,6.61,10.91,6.39,10.71,8.27,6.73,6.58,8.5,1.58,9.71,5.22,,,,,,,
Total,,,71.7,72.03,88.36,55.01,56.68,78.91,56.12,50.41,52.46,55.83,68.77,66.71,73.18,66.07,62.07,54.79,56.76,51.83,70.11,60.81,57.52,,,,,,,
