BLANDFORD (EAST STREET),,,,,,,,,,,,
Grid ref,ST887063,Long,-2.161907,Lat,50.856101,,,,,,,
Station no,1617/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.52,2.47,0.79,1.82,3.67,4.94,3.75,4.33,5.30,4.30,,
February,5.39,0.45,1.66,3.03,2.18,0.20,4.09,3.38,0.38,3.71,,
March,4.36,3.19,0.71,4.20,1.81,0.89,3.11,1.76,4.42,2.34,,
April,2.70,1.65,2.31,0.19,0.51,1.69,0.12,0.46,2.93,2.28,,
May,2.86,2.96,2.39,1.87,4.06,0.61,2.79,2.77,1.02,1.91,,
June,0.50,1.08,2.54,2.99,2.34,2.32,2.02,3.69,1.34,2.01,,
July,1.42,0.64,3.11,3.31,3.31,2.28,4.48,1.73,1.42,3.86,,
August,5.44,3.63,1.65,2.65,0.29,4.47,2.71,2.97,2.14,4.47,,
September,4.51,4.76,3.99,3.46,1.01,4.95,2.83,4.38,0.20,6.41,,
October,1.08,4.97,3.72,3.00,3.82,1.95,2.55,3.29,2.87,9.83,,
November,10.41,3.37,2.11,6.76,3.54,0.73,3.06,2.74,5.20,5.76,,
December,3.39,2.86,0.84,3.93,5.26,7.19,3.02,4.40,9.49,3.97,,
Total,45.58,32.03,25.82,37.21,31.80,32.22,34.53,35.90,36.71,50.85,,
Calc annual,45.58,32.03,25.82,37.21,31.80,32.22,34.53,35.90,36.71,50.85,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
