NANTLLE-DOROTHEA-QUARRIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH497532,Long,-4.243981,Lat,53.054861,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,6.45,3.34,5.16,2.9,5.45,9.25,4.91,6.6,4.63,2.87,8.75,7.58,7.59,9.12,8.27,5.9,7.82,4.75,9.37,7.03,11.11,3.53,12.86,6.79,10.7,7.41,7.04,4.14,4.03,3.14,5.61,9.28,,,6.05,,,3.1,12.3,10.5,15.35,4.8,2.55,7.2,8.45,3.45,4.95,4.9,5,9.75,7.85,6.1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,4.43,1.55,8.32,5.22,4.7,3.25,8.93,10,6.8,2.08,6.36,1.58,4.61,1.3,6.82,10.96,1.29,10.78,6.56,5.79,6.39,1.34,0.31,4.96,0.01,2.95,0.81,7.19,5.11,7.91,,2.65,,4.87,2,,,7.3,5.75,1.15,4.1,3.5,8.1,8.85,1.6,4.95,6.25,3.45,0.75,7,8.85,1.4,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.39,8.03,5.06,4.09,3.29,10.62,7.07,8.38,2.32,3.54,4.45,3.36,8.05,9.84,8.64,5.18,2.43,2.77,1.86,1.2,7.98,4.67,1.84,4.16,1.34,3.27,3.91,4.11,0.38,3.96,2.89,,3.37,,3.71,3.26,,,3.55,2.7,10.65,3.85,3.15,6.6,5.85,4.75,1.2,6.85,2.55,2.55,6.3,0.75,4.55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.87,3.12,5.75,5.65,4.5,0.4,6.94,0.94,4,4.3,3.12,1.33,5,8.15,3.16,4.33,5.17,5.55,4.7,3.54,2,2.27,1.1,3.21,4.36,4.41,2.44,2.77,3.76,1.08,3.39,,1.5,2.51,1.72,2.75,,,2.5,1.1,7.1,2.8,5.6,4.95,2.95,4.5,5,1.65,4.3,0.95,0.55,1.25,4.95,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,4.22,4.14,1.87,2.72,2.43,2.47,3.9,3.62,2.08,5.89,4.81,4.3,1.12,5.2,3.7,1.4,3.43,6.55,6.15,4.75,2.1,0.98,5.11,2.35,5.58,5.15,2.91,5.38,3.53,1.93,0.58,,0.93,,,4.16,,,2.55,2.25,4.8,2.15,2.7,0.5,2.7,3.1,3.6,5.75,5.35,2.65,3.15,7.1,0.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,7.71,2.83,2.6,3.86,5.06,7.69,5.5,2.5,1.34,3.24,2.84,3.51,3.5,4.1,0.73,2.52,2.74,6.5,0.13,4.04,7.18,8.16,3.17,3.06,6.21,2.86,3.13,1.71,7.68,4.92,3.49,,1.71,1.09,0.85,,,2.55,3.5,5.95,2.7,5.95,1.05,2.25,1.15,4.05,3.9,5.75,7,3.1,1.25,5.4,1.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.4,5.28,5.55,5.26,1.24,7.5,1.83,7.14,3.71,3.49,1.88,6.17,3.36,10.33,3.5,6.1,4.88,4.41,3.27,5.85,4.6,4.43,4.98,5.76,4.78,7.21,3.36,1.22,0.78,4.96,1.47,,6.63,3.85,2.94,,,5.45,3.8,4,3.3,3.55,1.65,4.05,1.8,2.65,6.45,4.8,0.85,5.8,9.45,4.85,3.15,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,5.75,5.46,3.07,8.4,4.9,9.03,2.58,4.46,3.24,2.45,13.01,2.53,4.85,5.9,11.07,5.6,7,8.25,6.11,5.26,10.83,5.69,7.07,7.28,5.59,1.17,3.23,6.34,1.79,2.78,1.08,2.73,1.77,2.68,,4.31,,3.2,0.75,6.95,0,7.4,3.6,8.9,9,5.15,3.55,5,1.4,11.6,8,4,0.35,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,0.75,4.67,5.85,1.54,5.1,1.42,7.94,3.2,1.83,4.21,3.92,11.41,6.3,5.06,2.1,5.55,8.91,9.34,4.8,2.67,6.84,2.14,2.68,4.94,4.19,4.38,2.77,9.88,8.13,3.52,4.51,3.2,0.82,2.91,,,,5.9,5.15,8.45,4.95,6.3,3.7,13.4,10.25,3.7,6,6.9,3.9,4.8,8.15,9.8,0.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,10.38,2.11,13.13,3.9,5.85,8.11,5.37,2.61,4.82,9.37,11.18,10.35,3.06,5.93,3.57,0.53,9.98,6.5,8.77,5.1,6.85,10.22,9.37,9.77,3.52,9.42,5.87,10.27,7.33,3.42,5.13,6.75,3.92,,,5.34,,7.2,5.2,1.2,1.15,4.4,10.85,6.5,0.9,5,5.55,13.25,4.2,5.45,8.1,5.7,8.15,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
