SHIPSTON TALTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SP239470,Long,-1.652344,Lat,52.120803,Elevation,160,ft,,,,,,,,,,,,
Station no,RR6131,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.7,3.24,1.07,0.81,0.89,1.97,0.17,3.37,3.02,0.68,2.84,0.7,1.4,2.25,3.52
February,,,,,,0.5,1.4,1,0.75,0.47,2.67,1.86,1.61,1,1.32,2.82,2.89,0.91,0.84,2.86
March,,,,,,2.71,0.99,0.69,2.35,2.65,0.61,3.47,3.73,2.9,2.68,0.77,3.27,1.63,0.94,4.51
April,,,,,,1.76,0.55,1.96,2.27,1.92,2.09,0.74,0.1,2.53,0.82,0.99,0.9,1.17,3.02,1.94
May,,,,,,0.19,1.8,2.65,1.24,1.17,1.68,0.55,2.52,2.12,1.66,2.15,2.05,2.51,1.65,0.79
June,,,,,,3.11,3.74,2.39,1.82,3.32,2.74,1.42,4.3,0.58,2.94,1.08,2.52,1.66,0.61,1.19
July,,,,,,0.67,1.41,1.41,1.8,1.98,2.14,0.24,3.98,2.06,2.82,2.96,1.56,1.57,3.42,3.15
August,,,,,,4.91,1.07,1.8,3.03,2,2.86,1.82,5.99,0.73,0.91,1.04,2.59,3.38,0.73,2.09
September,,,,,,0.76,1.11,0.46,1.2,2.73,0.05,1.21,0.61,2.06,0.8,0.64,0.81,1.65,5.07,1.6
October,,,,,,1.03,3.85,5.16,1.33,2.92,2.14,1.95,1.89,2.24,1.77,2.76,2.82,2.53,1.51,1.43
November,,,,,,2,2.58,1.26,0.9,0.46,3.19,2.13,1.35,2.41,2.88,2.32,2.88,0.78,1.85,1.26
December,,,,,,0.79,1.48,2.68,1.21,2.53,3.6,3.87,2.89,0.97,5.46,3.56,2.89,1.29,2.35,3.69
Total,,,,,,19.13,23.22,22.53,18.71,23.04,25.74,19.43,32.34,22.62,24.74,23.93,25.88,20.48,24.24,28.03
