HARTLEY-WINTNEY-SEWAGE-WORKS-(NR-CHURCH-HOUSE-FARM),,,,,,,,,,,
Grid ref,SU767558,Long,-0.9012,Lat,51.29617,Elevation,260,ft,,,
Station no,758,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,2.55,,1.89,,,
February,,,,,,3.92,,,,,
March,,,,,,0.59,,,,,
April,,,,,,2.39,,,,,
May,,,,,,3.57,,,,,
June,,,,,,0.05,,,,,
July,,,,,,3.1,,,,,
August,,,,,,3.35,,,,,
September,,,,,,3.01,,,,,
October,,,,,,2.84,,,,,
November,,,,,,1.55,,,,,
December,,,,,,3.09,,,,,
Total,,,,,,30.01,,,,,
,,,,,,,,,,,
Location of this gauge taken from distance to church and distance moved to council offices Observer lived in Winchfield,,,,,,,,,,,
1927 Feb Gauge moved 1 mile NW,,,,,,,,,,,
