HARTLEY-WINTNEY-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU768580,Long,-0.899411,Lat,51.315936,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,758/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.72,4.65,2.97,2.47,3.25,5.49,2.02,1.18,1.96,1.88,4.7,1.14,0.65,3.32,2.01,0.91,1.64,3.04,3.74,1.95,2.62,2.76,2.87
February,,,,,,,4.25,0.53,1.24,1.98,2.13,0.51,1.3,1.09,2.03,2.54,1.51,1.1,1.26,4.24,5.5,0.75,1.25,2.64,1.39,0.19,2.82,2.32,0.24,2.41
March,,,,,,,4.21,0.21,1.22,2.86,3.55,1.92,0.41,0.16,0.55,1.16,4.89,0.81,1.52,0.9,4.09,2.23,0.48,2.21,1.04,0.51,1.56,1.31,2.81,1.28
April,,,,,,,2.14,0.09,2.46,1.19,1.54,1.66,0.9,1.26,1.14,1.59,2.33,1.88,1.78,2.85,2.64,1.73,2.53,0.28,0.34,1.13,0.25,1.04,1.89,0.77
May,,,,,,,3.41,1.47,1.36,0.6,1.57,2.93,2.73,0.23,1.62,2.87,1.55,3.7,2.17,1.52,2.47,3.09,1.9,2.6,3.52,0.24,1.21,1.91,0.59,1.34
June,,,,,,,1.66,0.73,1.16,0.92,1.56,0.51,0.86,2.17,2.06,2.67,1.75,2.17,0.65,1.44,1.37,1.41,1.75,3.49,2.28,1.93,0.81,3.5,0.58,1.05
July,,,,,,,2.29,2.15,3.99,2.14,3.55,1.46,2.19,1.71,3.24,2.18,1.36,0.87,1.51,4.79,1.58,0.49,3.57,2.28,0.67,3.84,3.96,1.02,3.06,2.69
August,,,,,,,1.54,2.29,1.6,0.1,4.84,1.91,1.94,1,1.08,4.24,0.28,2.96,1.39,4.36,4.55,2.75,2.33,3.82,1.31,3.19,2.4,3.98,2.02,5.62
September,,,,,,,1.99,1.21,0.92,1.11,0.16,1.31,1.18,2.35,2.23,4.34,0.97,2.28,1.05,2.59,2.93,3.14,1.79,2.17,1.42,3.21,2.71,3.27,0.04,3.47
October,,,,,,,2.82,3,5.72,3.36,1.42,2.95,3.55,3.7,3.39,1.16,0.65,2.23,6.26,0.32,1.06,3.47,3.2,2.34,4.36,3,1.95,2.44,2.21,7.61
November,,,,,,,1.35,3.53,5.22,7.49,3.13,2.2,1.73,4.36,0.24,5,1.06,1.93,2.53,5.49,5.96,3.12,0.91,4.9,2.07,0.71,2.72,2.69,2.73,3.54
December,,,,,,,3.8,3.19,1.16,1.16,1.58,3.16,1.54,1.97,2.75,2.76,2.36,4.2,1.59,1.59,2.23,2.41,0.59,2.54,2.76,3.71,2.33,2.68,4.31,3.27
Total,,,,,,,,21.12,30.7,25.88,27.5,23.77,23.82,22.02,21.51,32.47,20.59,28.83,22.85,30.74,37.7,26.6,21.21,30.91,24.2,25.4,24.67,28.78,23.24,35.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Jan 20th Gauge moved from Council Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Total was originally correct but changed. Original value re-instated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
