HARTLEY-WINTNEY-SEWAGE-WORKS-(COUNCIL-OFFICES),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU767570,Long,-0.90058,Lat,51.30706,Elevation,202,ft,,,,,,,,,,,,,
Station no,758,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.17,1.2,3.62,0.78,2.35,1.81,1.7,0.56,4.17,,,,
February,,,,,,,,4.18,1.66,0.52,0.69,1.56,0.14,4.33,0.07,2.57,2.23,,,,
March,,,,,,,,2.87,2.21,0.03,1.15,0.18,1.35,3.02,2.22,0.31,,,,,
April,,,,,,,,1.55,1.72,0.68,2.29,3.06,3.04,0.85,1.28,3.04,,,,,
May,,,,,,,,0.92,1.69,1.3,1.55,3.57,5.23,1.86,0.44,0.76,,,,,
June,,,,,,,,2.67,1.83,1.46,0.96,1.36,1.17,1.92,0.97,2.9,,,,,
July,,,,,,,,4.21,1.58,3.02,1.9,3.14,2.28,1.76,2.31,0.75,,,,,
August,,,,,,,,2.69,2.41,0.98,3.69,3.57,2,0.62,2.86,3.08,,,,,
September,,,,,,,,5.06,1.28,0.15,2.36,1.52,2.28,6.23,1.01,3.34,,,,,
October,,,,,,,,1.23,4.02,3.36,1.41,0.4,4.04,1.9,1.22,3.99,,,,,
November,,,,,,,,3.73,1.97,7.77,3.85,2.83,1.07,0.6,1.66,4.88,,,,,
December,,,,,,,,4.48,2.29,6.43,1.98,0.47,0.49,0.52,5.29,2.53,,,,,
Total,,,,,,,,,25.83,26.9,25.45,22.44,25.44,25.42,21.03,28.71,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1927 Feb gauged moved,,,,,,,,,,,,,,,,,,,,,
