MASHAM MOOR - AGILL HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE114766,Long,-1.827,Lat,54.185,Elevation,1380,ft,,,,,,,,,,,,,,,,,,,
Station no,3407/9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.00,7.15,6.50,8.02,8.23,3.30,6.21,6.90,7.54,5.68,5.84,5.70,4.68,9.85,2.86,2.71,-999.00,4.05,1.40,3.83,5.43,4.97,6.29,4.50,5.41,5.80
February,,7.70,3.80,4.00,2.75,4.12,2.79,8.20,3.15,3.53,2.57,6.00,4.02,6.50,2.92,4.30,7.93,-999.00,2.03,2.85,5.05,3.74,4.09,4.18,7.05,0.47,6.20
March,,1.50,3.50,3.63,1.08,3.67,2.88,3.78,3.15,2.51,0.55,2.82,2.23,7.50,2.98,1.71,2.32,5.03,4.15,0.87,3.83,2.55,1.46,3.18,2.66,2.94,1.98
April,,3.60,2.20,4.50,0.45,2.10,2.74,2.54,2.08,2.65,2.58,1.40,2.49,6.64,2.81,5.22,3.68,3.27,2.50,3.55,1.12,1.23,2.12,0.43,0.99,4.58,2.73
May,,1.10,2.60,3.70,3.57,1.19,2.36,2.46,3.49,3.95,1.57,2.15,4.00,2.72,1.45,1.83,1.57,7.69,1.85,3.96,5.42,3.96,1.00,1.66,6.20,1.24,1.51
June,,3.50,6.90,1.50,4.25,3.37,0.38,0.78,1.09,2.70,2.74,4.55,3.10,3.64,3.91,0.63,1.54,1.37,1.75,3.70,3.71,2.80,3.54,1.80,4.30,1.71,1.34
July,,1.05,3.85,3.19,4.48,4.60,4.86,1.74,3.75,2.56,2.67,2.40,3.60,1.78,1.00,2.70,3.44,1.78,1.28,4.87,3.50,1.17,5.44,4.52,4.45,2.54,4.27
August,,2.30,2.70,2.45,4.50,3.02,0.78,3.57,3.63,4.68,2.45,3.15,7.73,1.01,4.97,1.85,7.07,6.25,4.67,4.98,7.38,1.40,7.35,7.12,4.20,0.88,4.50
September,,6.80,3.05,2.30,2.34,2.26,2.95,0.53,2.43,5.12,6.79,3.00,7.30,2.89,2.50,1.78,6.47,2.74,5.55,4.20,5.40,2.15,4.38,3.98,4.68,0.22,3.60
October,,8.70,4.05,3.22,12.70,4.04,5.47,6.28,4.32,3.52,5.91,6.30,2.28,1.83,1.48,5.39,2.17,2.03,6.31,3.72,9.62,2.49,2.83,5.45,4.00,5.82,7.34
November,3.30,7.95,4.65,2.45,6.50,7.49,7.22,4.02,1.62,2.94,9.48,1.29,10.09,5.73,2.08,6.52,6.07,11.87,2.82,3.52,9.22,3.18,0.98,2.52,1.15,6.82,7.03
December,7.70,3.25,6.20,4.60,5.27,2.69,3.45,2.78,4.92,2.68,5.53,3.49,4.14,3.73,4.86,8.06,2.56,5.65,3.80,2.80,6.10,6.49,5.80,5.12,5.42,10.44,5.59
Total,,49.45,50.65,42.04,55.91,46.78,39.18,42.89,40.53,44.38,48.52,42.39,56.68,48.65,40.81,42.85,47.53,59.75,40.76,40.42,64.18,36.59,43.96,46.25,49.60,43.07,51.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/284,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/143,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/236,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for February and March 1947 are estimated for snow and have been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January and February 1951 are apportioned.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1984 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
