BATH-BATHWICK-HILL-(NO-7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST760646,Long,-2.34553,Lat,51.38038,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1985/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.65,2.53,3.95,3.66,5.59,,1.97,2.43,2.34,6.12,1.04,0.48,2.59,2.57,0.88,2.06,3.52,,,,,
February,,,,,,,,,1.52,3.43,3.09,0.35,1.5,,3.13,2.98,1.62,1.34,1.6,5.79,4.41,0.76,2.05,3.43,1.93,,,,,
March,,,,,,,,,1.5,2.3,3.75,2.02,1.14,,0.91,0.83,5.47,1.26,1.53,1.08,3.12,2.86,0.72,3.61,1.41,,,,,
April,,,,,,,,,3.45,2.06,1.2,1.41,0.7,,0.91,2.28,2.53,2.06,1.7,2.45,3.77,1.53,2.75,0.36,1.03,,,,,
May,,,,,,,,,0.94,1.96,1.33,4.49,2.87,,2.48,3.97,3.06,4.53,3.76,2.53,2.37,4.16,1.75,2.41,4.94,,,,,
June,,,,,,,,,2.29,0.44,2.32,0.45,1.63,,3.38,3.88,1.76,2.09,0.35,1.97,1.4,2.48,1.56,4.53,3.72,,,,,
July,,,,,,,,,4.37,3.61,1.37,2.8,2.13,,1.44,1.15,2.63,0.89,1.39,4.7,1.16,1.27,3.08,3.02,0.91,,,,,
August,,,,,,,,,3.36,0.06,4.83,4.41,3.49,,2.8,4.89,0.91,3.21,1.54,5.05,5.56,5.14,2.64,3.21,0.98,,,,,
September,,,,,,,,2.8,1.2,1.51,0.43,1.72,3.43,,2.32,3.9,1.55,2.29,1.42,4.25,3.67,3.32,3.5,3.84,1.52,,,,,
October,,,,,,,,4.37,3.39,3.33,1.8,3.49,3.94,,3.66,1.08,0.35,3.64,6.08,1.75,0.69,4.69,2.78,3.24,1.44,,,,,
November,,,,,,,,4.22,5.68,7.89,1.84,1.45,2.05,,0.32,5.03,2.16,1.53,3.36,5.86,7.8,4.8,1.46,6.71,3.28,,,,,
December,,,,,,,,3.74,2.11,1.32,2.14,3.95,1.67,,3.95,2.49,2.81,4.23,1.52,2.24,2.36,2.45,0.65,2.52,4.38,,,,,
Total,,,,,,,,,35.46,30.44,28.05,30.2,30.14,,27.27,34.91,27.19,33.19,25.29,38.15,38.9,36.03,23.82,38.94,29.06,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No 7 Bathwick Hill Currently a listed building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge previously at Dunster The Priory Stn No 2098/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
