BATH-BATHWICK-HILL-(NO-37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST760647,Long,-2.34551,Lat,51.38156,Elevation,215,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1985/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.01,3.39,5.24,2.55,3.85,3.63,5.91,1.84,1.74,2.94,,6.66,1.16,0.51,3.06,,,,,,,,,
February,,,,,,,5.5,1.14,1.72,3.26,3.05,0.65,1.62,0.68,3.06,3.28,,1.73,1.7,6.01,4.37,,,,,,,,,
March,,,,,,,4.34,0.2,1.77,2.75,3.66,2.19,1.14,0.47,1.15,0.94,,1.6,1.13,1.2,3.39,,,,,,,,,
April,,,,,,,3.04,0,3.26,2.02,1.51,1.53,0.68,1.84,1.01,2.41,,2.28,1.79,2.51,3.7,,,,,,,,,
May,,,,,,,2.59,2.18,0.91,2.26,1.58,5.18,3.18,1.03,2.84,4.36,,4.52,3.3,2.61,2.64,,,,,,,,,
June,,,,,,,1.19,1.23,2.52,0.49,2.3,0.43,1.97,2.31,3.96,4.25,,2.13,0.33,2.06,1.65,,,,,,,,,
July,,,,,,,2.84,3.39,4.96,3.98,1.55,3.07,2.11,2.21,1.52,1.31,,0.95,1.49,5.18,1.14,,,,,,,,,
August,,,,,,,1.07,3.1,3.56,0,5.44,4.47,3.67,2.41,3.02,5.69,,3.57,1.7,5.78,6.07,,,,,,,,,
September,,,,,,,2.38,3.47,1.27,1.51,0.53,1.49,3.69,2.72,2.54,4.59,,2.41,1.51,4.64,3.73,,,,,,,,,
October,,,,,,,3.4,5.26,3.71,4.11,1.91,3.59,3.93,4.97,4.24,1.08,,3.79,6.71,1.8,1.04,,,,,,,,,
November,,,,,,,1.68,4.83,6.34,8.9,1.62,1.5,2.13,6.41,0.36,5.6,,1.71,3.61,5.82,8.04,,,,,,,,,
December,,,,,,,2.38,3.82,2.3,1.51,2.67,4.48,1.8,2.48,4.77,3,,5.17,1.64,2.19,2.72,,,,,,,,,
Total,,,,,,,35.42,32.01,37.56,33.34,29.67,32.21,31.83,29.37,30.21,39.45,,36.52,26.07,40.31,41.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No 37 Bathwick Hill Near Bayfield House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Aug Moved from Stn No 1976 MONKTON COMBE CROSSWAYS 2 miles SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Dec Marked as estimated Poss due to snow so left in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 May be big Query condition of funnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 No record sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Total has question mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
