DALRY (GLENLEE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX606805,Long,-4.186249,Lat,55.099267,Elevation,181,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5015/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,10.42,9.99,6.63,3.31,1.15,9.47,10.36,7.51,4,9.34,8.4,10.08,5.25,4.32,7.34,8.06,2.23,7.62,5.46,4.72,7.64,8.47,3.47,6.54
February,,,,,,,7.2,4.67,8.39,2.25,4.31,2.61,6.5,1.89,9.32,4.18,0.67,5.74,6.27,5.96,4.66,1.61,1.95,6.03,2.57,1.06,5.1,5.29,2.16,8.11
March,,,,,,,2.89,3.72,6.15,5.31,4.19,4.43,1.99,0.68,3.72,3.15,7.51,5.74,2.39,5.44,4.26,4.14,0.63,5.09,3.03,3.52,5.54,1.68,5,1.75
April,,,,,,,3.17,0.79,2.55,2.68,2.03,3.7,3.48,2.84,3.03,1.46,9.64,2.88,5.99,4.56,3.27,2.83,2.88,1.67,2.72,1.37,2.05,1.65,4.47,6.5
May,,,,,,,2.39,5.41,0.93,1.74,3.12,4.99,5.41,3.22,6.05,0.94,5.72,1.99,2.08,1.82,2.8,3.48,3.51,4.56,4.59,2.33,3.64,3.96,1.76,2.22
June,,,,,,,3.65,7.73,3.61,0.94,0.96,0.92,4.02,4.17,4.45,4.3,4.48,4.68,0.78,3.61,2.61,2.98,2.17,4.79,3.44,3.49,1.54,3.46,3.92,3.18
July,,,,,,,5.3,6.71,5.96,5.39,2.83,3.45,2.75,4.04,3.54,3.2,4.71,3.62,2.14,5.16,2.2,3.63,6.52,3.97,2.71,6.21,5.98,4.42,6.2,4.82
August,,,,,,,3.66,2.58,1.47,1.38,6.32,6.88,6.55,3.37,1.59,4.41,0.19,8.04,4.52,7.45,10.03,5.24,3.72,4.29,1.59,9.75,4.88,5.14,0.95,4.63
September,,,,,,,2.79,5.7,2.79,5.21,3.17,6.3,3.05,6.36,6.24,9.85,5.97,6.27,2.1,13.99,5.9,2.86,8.36,8.16,3.59,6.04,4.9,6.2,1.76,4.36
October,,,,,,,3.7,11.28,3.44,7.23,5.41,6.59,10.42,7.33,7.32,1.03,1.77,6.09,7.6,5.25,0.81,6.47,5.68,11.88,4.71,4.69,5.58,5.08,7.15,5.4
November,,,,,,,1.31,13.19,10.71,8.48,5.62,1.53,4.37,9.49,0.49,10.19,8.66,5.51,7.85,4.93,11.49,2.98,8.99,11.86,4,2.93,3.4,2.43,8.43,12.12
December,,,,,,,3.79,5.47,3.43,7.6,3.37,11.24,3.7,8.34,6.15,6.62,4.04,7.97,11.65,2.56,11.9,5.95,5.83,9.28,10.08,7.83,7.33,5.94,10.94,6.77
Total,,,,,,,50.27,77.24,56.06,51.52,42.48,62.11,62.6,59.24,55.9,58.67,61.76,68.61,58.62,65.05,67.27,50.23,52.47,79.2,48.49,53.94,57.58,53.72,56.21,66.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930s record called Glen Lee Power Station which is the Court Hill Works on the 1957 OS - NGR from 1950s record and at said station, not the house Glenlee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
