CLOUGHTON - OLD MILL,,,,,,,,,,
Grid ref,TA010936,Long,-0.448,Lat,54.328,Elevation,150,ft,,
Station no,3468/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.78,4.02,3.58,5.61
February,,,,,,,2.93,4.95,0.41,2.28
March,,,,,,,1.55,2.73,1.46,1.64
April,,,,,,,1.00,1.39,2.94,0.79
May,,,,,,1.21,1.21,2.87,0.64,1.30
June,,,,,,3.11,1.41,3.76,1.88,0.75
July,,,,,,3.18,4.07,2.54,2.02,3.70
August,,,,,,6.31,2.89,2.19,0.32,2.77
September,,,,,,1.73,3.31,1.35,0.30,2.68
October,,,,,,2.20,3.22,1.56,2.14,9.15
November,,,,,,2.00,2.65,0.69,4.20,4.41
December,,,,,,2.23,2.10,3.56,4.41,3.39
Total,,,,,,,28.12,31.61,24.30,38.47
,,,,,,,,,,
TYRain_1951-1960_22_pt1/048,,,,,,,,,,
,,,,,,,,,,
# The station continued until 1984 according to MIDAS. (MIDAS src_id = 2013),,,,,,,,,,
