CROSBY RAVENSWORTH,,,,,,,,,,
Grid ref,NY622152,Long,-2.5856154,Lat,54.530658,Elevation,597,ft,,
Station no,3677/1,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.58,3.62,8.87,3.04,
February,,,,,,3.79,1.38,4.62,2.67,
March,,,,,,2.75,6.19,2.53,1.35,
April,,,,,,1.25,9.37,4.22,3.05,
May,,,,,,1.35,3.94,1.61,2.76,
June,,,,,3.2,4.57,3.48,6.09,1.38,
July,,,,,2.15,4.73,3.72,2.73,2.33,
August,,,,,2.08,3.87,0.14,5.43,2.18,
September,,,,,2.8,4.51,5.64,4.97,1.64,
October,,,,,3.99,0.87,0.72,3.5,,
November,,,,,0.35,9.12,5.97,3.54,,
December,,,,,2.08,5.1,2.38,5.86,,
Total,,,,,,46.49,46.55,53.97,,
