MARKET-HARBOROUGH-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP732879,Long,-0.9234,Lat,52.4846,Elevation,348,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2492/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.54,0.93,3.41,3.01,2.73,4.7,2.8,,,,,,,,,,0.59,1.97,1.97,0.94,1.07,1.93,3.84,0.86,2.49,3.44,3.86
February,,,,0.39,1.91,2.04,2.79,0.75,0.79,2.52,,,,,,,,,,3.73,4.19,0.69,1.61,2.41,1.95,0.6,2.77,3.4,0.07,1.61
March,,,,1.37,0.51,1.28,2.5,0.19,1.46,1.98,,,,,,,,,,0.96,3.58,2.6,1.09,2.3,2.5,1.34,1.72,1.66,2.25,1.75
April,,,,2.14,3.18,2,3.03,0.07,1.66,2.08,,,,,,,,,,2.27,2.89,1.84,1.74,0.29,0.76,1.63,0.3,0.78,2.32,0.55
May,,,,1.2,0.64,1.32,3.3,1.45,0.8,1.24,,,,,,,,,,2.08,2.72,2.68,1.18,1.83,3.42,0.53,1.4,1.98,0.56,0.89
June,,,,0.61,3.27,4.29,1.02,1.49,2.53,0.82,,,,,,,,,,2.01,1.67,0.82,3.85,2.37,2.69,2.84,2.36,4.61,0.75,2.96
July,,,,1.33,0.4,,1.55,2.86,3.64,2.86,,,,,,,,,,2.33,1.03,0.31,2.29,2.05,0.26,2.72,2.32,3.59,1.99,2.77
August,,,,1.3,,,,,5.13,0.2,,,,,,,,,,1.71,3.96,3.87,3.03,4.07,0.59,4.05,3.11,2.43,1.39,3.17
September,,,,1.29,,1.93,,,0.55,1.15,,,,,,,,,,2.69,1.49,2.58,1.55,2.09,1.39,2.2,4.71,2.18,0.04,3.53
October,,,,1.42,3.18,1.56,1.99,2.27,3.49,3.23,,,,,,,,,,0.89,0.69,2.41,2.27,2.61,1.78,1.39,1,1.79,1.91,5.49
November,,,,1.89,4.11,1.99,1.51,2.35,3.13,5.84,,,,,,,,,,3.97,5.06,2.38,1.36,4.78,1.03,0.69,1.73,1.5,1.78,3.35
December,,,,4.01,2.8,1.67,1.69,2.83,1.08,1.85,,,,,,,,,,1.68,2.06,2.45,0.8,3.06,2.01,2,2.07,2.28,4.27,2.49
Total,,,,18.49,,,,,28.96,26.57,,,,,,,,,,24.91,31.31,24.6,21.71,28.93,20.31,23.83,24.35,28.69,20.77,32.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1-page-102.csv not incl as not a TYR sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1-page-103.csv not incl as not a TYR sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Jul Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
