STURMINSTER-NEWTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,ST787139,Long,-2.30391,Lat,50.92425,Elevation,180,ft,,,,,,,,,,,,
Station no,RR8367,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.98,6.08,0.82,1.25,1.29,3.82,1.28,5.07,5.97,0.68,,,,,
February,,,,,,0.73,2.44,1.55,1,0.75,5.15,1.67,2.75,1.14,4.83,,,,,
March,,,,,,4.12,1.01,0.61,3.72,4.66,0.77,2.5,4.79,3.12,4.49,,,,,
April,,,,,,1.99,0.97,4.77,2.11,2.14,2.14,1.58,0.17,3.02,0.94,,,,,
May,,,,,,0.35,2.87,1.64,2.02,1.42,1.56,1.58,1.57,2.92,1.37,,,,,
June,,,,,,4.12,1.55,2.21,0.34,3.07,4.06,1.55,3.34,0.64,1.07,,,,,
July,,,,,,0.28,1.24,1.36,1.71,3.33,3.24,0.1,3.59,1.47,4.89,,,,,
August,,,,,,3.4,1.11,1.87,3.77,2.49,3.02,0.63,7.47,1.13,2.92,,,,,
September,,,,,,1.33,0.8,0.74,2.76,2.74,0.2,1.32,1.88,3.03,2.12,,,,,
October,,,,,,2.08,4.79,9.09,1.98,7.81,5.22,2.86,4.14,3.54,2.92,,,,,
November,,,,,,3.69,3.19,3.6,1.06,0.68,3.94,2.92,2.04,3.81,5.33,,,,,
December,,,,,,0.75,1.92,4.07,3.19,4.57,6.67,9.36,4.82,2.34,9.4,,,,,
Total,,,,,,23.82,27.97,32.33,24.91,34.95,39.79,27.35,41.63,32.13,40.96,,,,,
