STURMINSTER NEWTON RECTORY,,,,,,,,,,,,
Grid ref,ST787139,Long,-2.304419,Lat,50.924158,,,,,,,
Station no,RR8367,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.98,6.08,0.82,1.25,1.29,,
February,,,,,,0.73,2.44,1.55,1.00,0.75,,
March,,,,,,4.12,1.01,0.61,3.72,4.66,,
April,,,,,,1.99,0.97,4.77,2.11,2.14,,
May,,,,,,0.35,2.87,1.64,2.02,1.42,,
June,,,,,,4.12,1.55,2.21,0.34,3.07,,
July,,,,,,0.28,1.24,1.36,1.71,3.33,,
August,,,,,,3.40,1.11,1.87,3.77,2.49,,
September,,,,,,1.33,0.80,0.74,2.76,2.74,,
October,,,,,,2.08,4.79,9.09,1.98,7.81,,
November,,,,,,3.69,3.19,3.60,1.06,0.68,,
December,,,,,,0.75,1.92,4.07,3.19,4.57,,
Total,,,,,,23.82,27.97,32.33,24.91,34.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.82,27.97,32.33,24.91,34.95,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,,
