AUCHTERAWE (LON MOR),,,,,,,,,,
Grid ref,NH336068,Long,-4.750169,Lat,57.121918,Elevation,525,ft,,
Station no,5701/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.99,6.39,3.21,4.63,9.75,3.95,3.55,3.95
February,,3.16,4.02,3.3,3.35,3.28,3.9,2.45,3.4,3.25
March,,2.62,2.55,2.48,1.42,2.81,4.2,1.75,2.7,0.9
April,,2.4,3.56,2.19,1.95,3.02,1.35,3.55,4.1,4.8
May,,2.9,4.45,4.14,3.6,4.76,1.4,5.1,1.3,1.5
June,,2.33,2.75,2.15,2.22,1.81,2.8,1.9,3.95,3.25
July,,3.41,3.84,1.97,0.24,4.45,5.06,2.83,4.6,2.75
August,,5.86,3.99,4.39,0.63,5.73,4.8,4.4,3.35,6
September,,5.91,4.58,5.23,6.18,6.22,3.35,3.85,1.42,3
October,,6.49,2.24,10.37,5.48,5.58,6.35,7.4,6.8,1.2
November,,3.51,10.52,6.27,1.42,5.1,2.2,1.25,7.15,4
December,,6.03,6.56,12.54,10.31,10.45,7.8,5,6.45,6.8
Total,,,54.05,61.42,40.01,57.84,52.96,43.43,48.77,41.4
,,,,,,,,,,
1952 J+T est deleted,,,,,,,,,,
Station no,5701/7/5,,,,,,,,,
Midas,14636,,,,,,,,,
Hyd Stn,799983,,,,,,,,,
