"BLANCHLAND (BIRKSIDE)",,,,,,,,,,,,
Grid ref,NY949507,Long,-2.080957,Lat,54.851074,,,,,,,
Station no,RR4088,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.66,3.19,3.91,3.72,2.35,2.88,3.25,5.17,,
February,,,1.78,2.64,2.45,3.99,3.06,4.95,0.32,2.77,,
March,,,0.15,1.36,1.93,1.52,1.61,2.80,1.10,2.90,,
April,,,3.15,0.56,0.44,1.28,0.38,1.92,2.72,1.58,,
May,,,2.32,5.51,2.55,0.75,1.20,4.00,0.77,1.96,,
June,,,3.95,1.92,2.73,3.08,1.03,3.65,2.17,0.35,,
July,,2.03,1.83,1.44,1.30,3.20,3.96,3.84,1.23,5.10,,
August,,2.42,4.06,8.63,1.16,10.00,5.54,3.97,0.52,3.93,,
September,,5.24,2.91,3.26,1.32,3.54,3.57,2.58,0.98,2.89,,
October,,4.05,2.11,5.40,2.51,2.05,2.29,2.12,2.12,10.44,,
November,,3.51,2.15,5.12,1.71,1.06,2.56,0.45,5.31,3.50,,
December,,3.00,1.58,3.42,4.37,3.94,2.58,4.66,5.84,2.74,,
Total,,,26.65,42.45,26.38,38.13,30.13,37.82,26.33,43.33,,
Calc annual,0.00,20.25,26.65,42.45,26.38,38.13,30.13,37.82,26.33,43.33,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
