BURNLEY WW CANT CLOUGH S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD894306,Long,-2.162306,Lat,53.771631,Elevation,903,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2959/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,6.62,3.07,2.67,5.32,8.7,7.4,4.61,6.48,4.99,11.5,3.56,4.31,6.15,6.93,2.32,4.9,2.67,6.38,4.62,5.47,3.47,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,5.85,2.46,6.31,2.2,3.94,2.86,5.9,7.23,3.94,4.07,4.18,6.74,5.08,2.12,3.02,4.06,2.66,1.56,4.72,7.16,0.74,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.86,3.54,4.99,4.34,1.44,0.8,1.86,1.95,5.44,3.05,2.34,3.54,5.98,2.74,2.43,3.45,2.74,2.14,4.17,2.43,2.42,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.58,4.07,2.9,2.68,3.03,3.37,2.68,1.88,6.15,3.09,4.32,4.19,3.64,3.83,4.01,0.74,2.49,4.26,0.41,1.5,4.07,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.07,1.4,2.57,4.22,3.49,3.74,4.92,1.75,3.33,1.61,3.35,2.85,2.66,2.2,2.49,4.27,4.54,1.9,1.98,5.79,2.34,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.61,0.92,0.47,1.15,3.81,3.79,4.93,3.34,3.36,5.98,0.88,2.73,1.56,3.56,3.51,3.02,3.19,3.04,2.49,5.25,3.53,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,7.45,4.52,1.91,5.36,2.91,3.53,3.27,3.62,4.56,2.38,2.13,5.56,4.63,3.12,6.17,5.11,1.42,5.37,5.88,3.98,3.33,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.86,2.52,6.46,4.73,6.76,3.68,4.19,8.21,0.31,5.24,3.46,8.05,5.57,6.98,5.88,8.21,1.57,12.47,6.76,4.62,0.96,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.86,4.52,0.79,3,4.89,7.32,3.31,7.59,3.7,4.17,1.5,8.62,3.65,5.37,5.32,6.18,3.1,4.45,6.48,6,0.27,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.62,5.37,5.66,8.07,3.43,5.89,6.55,1.6,1.44,3.14,6.79,4.03,1.66,6.33,2.61,7.82,3.59,2.92,5.95,4.43,6.39,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
