HAMPSTEAD-KEMPLAY-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ267857,Long,-0.1738254,Lat,51.555965,Elevation,300,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,0.88,2.03,0.81,1.57,1.28,3.86,2.83,0.7,4.5,1.04,1.03,2.97,3.87,2.51,2.01,,,,,,,,
February,,,,,,,,1.13,1.47,0.32,2.65,1.63,1.7,0.83,2.5,3.09,2.69,1.01,1.05,2.75,0.62,0.5,,,,,,,,
March,,,,,,,,0.97,2.13,2.66,1.26,1.47,2.92,2.21,4.49,0.87,3.85,0.85,1.03,2.6,1.35,0.92,,,,,,,,
April,,,,,,,,3.23,2.67,1.73,1.35,1.76,0,2.84,0.91,1,1.2,-999,3.38,3.46,2.21,0.95,,,,,,,,
May,,,,,,,,1.45,1.94,1.71,2.22,1.41,1.2,1.48,2.81,3.04,1.74,-999,1.41,0.31,0.69,0.95,,,,,,,,
June,,,,,,,,2.24,1.43,3.61,2.33,2.13,4.79,0.71,1.17,0.66,2.35,4.2,0.27,1.21,1.11,0.45,,,,,,,,
July,,,,,,,,1.99,3.58,2.28,2.49,1.44,1.4,2.2,1.87,5,0.7,4.29,3.77,1.33,2.8,0.1,,,,,,,,
August,,,,,,,,2.2,2.31,1.49,1.95,1.03,5.09,1.42,1.81,2.63,4.72,3.42,1.25,1.61,1.7,1.36,,,,,,,,
September,,,,,,,,0.73,1.28,2.17,0.51,1.43,1.85,1.84,1.08,2,1.65,2.1,4.18,1.49,2.51,2.27,,,,,,,,
October,,,,,,,,2.56,1.74,3.49,2.01,2.75,2.12,3.23,1.21,2.21,2.6,2.51,1.08,0.75,1.2,,,,,,,,,
November,,,,,,,,2.4,0.65,1.83,2.6,3.85,1.58,2.53,3.21,2.32,2.91,1.22,1.56,2,1.05,,,,,,,,,
December,,,,,,,1.97,3.84,2.24,1.65,2.72,4.13,2.27,0.6,5.88,4.3,2.54,0.81,1.92,2.21,2.3,,,,,,,,,
Total,,,,,,,,23.62,23.47,23.75,23.66,24.31,28.78,22.72,27.64,31.62,27.99,24.84,23.87,23.59,20.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 20 Willoughby Road, as noted on 1900s record,which is adjacent to Kemplay Road. Altitude from OS map.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The observer is the same for both records and it looks as if the gauge is in the same position but the observer chose to use a different name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If the gauge did move to Kemplay Road the move was at most 100m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400m from HAMPSTEAD-THE-PRYORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
