CUCKFIELD-BOLNEY-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ261226,Long,-0.20471605,Lat,50.988998,Elevation,99,ft,,,,,,,,,,,,
Station no,RR6724,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.88,2.55,5.1,1.16,5.06,1.23,1.79,1.28,3.36,1.41,,,,,,,,
February,,,0.99,1.45,3.46,0.67,3.02,1.46,1.21,0.4,4.84,1.71,,,,,,,,
March,,,2.09,3.33,1.27,3.95,1.61,1.19,2.31,3.62,1.42,2.42,,,,,,,,
April,,,1.11,2.44,1.79,2.09,0.95,3.31,2.49,1.64,2.18,1.89,,,,,,,,
May,,,2.59,2.17,3.75,0.65,2.37,2.63,1.8,1.72,2.12,1.14,,,,,,,,
June,,,3.78,3.51,1.05,4.29,2.97,1.64,1.41,2.66,1.81,2.27,,,,,,,,
July,,,1.15,3.38,0.72,0.54,0.98,0.77,2.65,2.78,3.2,0.67,,,,,,,,
August,,,4.46,4.46,1.79,3.02,1.05,2.05,4.03,2.87,3.24,0.79,,,,,,,,
September,,,0.8,3.83,2.46,2.59,1.25,0.63,1.21,2.91,0.27,1.58,,,,,,,,
October,,,2.01,7.11,2.15,1.81,4.8,5.13,1.88,6.67,3.16,4.87,,,,,,,,
November,,,2.92,2.55,1.43,5.43,5.81,2.3,1.21,1.26,4.92,7.03,,,,,,,,
December,,,1.71,2.48,2.92,0.76,2.42,2.98,3.49,3.88,4.16,7.26,,,,,,,,
Total,,,24.49,39.26,27.89,26.96,32.29,25.32,25.48,31.69,34.68,33.04,,,,,,,,
