CRANHAM-WOODSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO890130,Long,-2.160976,Lat,51.815519,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2164/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.39,2.13,0.65,3.64,3.64,3.23,5.44,2.12,2.65,3.17,5.79,1.94,2.1,3.16,2.21,4.8,1.52,0.28,3.14,2.15,0.93,1.26,2.07,3.32,,,,
February,,,3.72,0.56,2.48,2.57,4.22,0.7,0.93,2.61,3.11,0.62,1.54,0.86,2.33,1.83,1.39,1.07,1.3,5.21,3.64,0.64,1.38,2.47,1.52,0.45,,,,
March,,,2.77,2.03,0.53,2.15,3.82,0.28,2.01,2.15,2.77,2,1.02,0.46,1.36,1.18,6.74,1.29,1.39,1.53,3.56,2.37,0.72,2.57,1.46,0.64,,,,
April,,,1.05,1.91,4.71,2.41,3.19,0.15,3.11,1.83,1.05,1.3,0.99,1.08,1.21,2.71,2.48,2.96,2.39,2.12,3.27,2.08,2.26,0.36,0.72,2.41,,,,
May,,,2.69,1.03,0.94,0.69,2.24,2.41,1.25,1.58,2.18,3.17,3.55,0.86,2.32,3.49,2.21,4.87,2.57,2.16,2.96,3.07,2.23,2.02,4.63,0.69,,,,
June,,,1.99,1.04,3.23,4.82,0.73,0.94,2.19,0.56,2,0.23,2.31,3.28,3.33,2.54,1.82,2.65,0.75,2.96,1.2,2.64,2.86,4.22,3.65,,,,,
July,,,1.87,3.22,0.48,5.29,2.77,2.89,6.17,4,2.99,1.99,1.04,3.15,1.71,1,2.27,0.84,1.78,4.02,0.82,0.22,2.93,2.72,0.46,,,,,
August,,,0.9,1.91,2.03,0.39,0.84,2.89,2.81,0.18,4.68,4.39,2.15,2.95,1.49,7.85,0.4,5.77,1.39,4.12,5.71,4.44,3.17,4.4,0.65,,,,,
September,,,2.44,1.75,4.14,3.4,2.22,2.38,1,0.94,1.04,1.86,2.13,2.93,1.85,4.23,1.89,3.24,1.83,3.9,2.85,1.45,2.72,3.17,0.91,,,,,
October,,,4.04,1.68,4.19,1.49,3.36,3.53,2.63,3.74,2.65,2.95,2.16,6.27,3.31,0.92,0.36,3.32,5.87,0.99,0.76,3.12,2.31,3.1,1.41,,,,,
November,,,0.72,1.67,4.42,2.53,1.8,3.28,4.74,6.71,2.51,1.52,1.88,4.99,0.51,5.39,1.49,1.47,2.82,5.32,6.66,2.02,0.87,5.87,3.31,,,,,
December,,,0.52,5.61,3.95,3.68,2.1,3.96,2.37,1.16,2.41,3.41,1.13,1.94,5.05,2.75,2.27,4.28,1.51,1.74,2.43,2.21,0.87,2.18,3.02,,,,,
Total,,,25.1,24.54,31.75,33.06,30.93,26.64,34.65,27.58,30.04,26.61,25.69,30.71,26.57,37.05,25.53,36.56,25.12,34.35,37,26.41,23.25,34.34,23.81,,,,,
