BURTON-ON-TRENT-ST-PAULS-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SK237233,Long,-1.6498694,Lat,52.806735,Elevation,151,ft.,,,,,,,,,,,,
Station no,RR7394,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,2.4,1.82,1.41,1.4,1.52,3.11,1.25,,,
February,,,,,,,,,,,0.67,0.11,1.19,2.39,2.19,0.22,0.82,,,
March,,,,,,,,,,,1.22,1.5,0.76,0.28,0.91,1.66,2.26,,,
April,,,,,,,,,,,0.99,1.73,0.96,0.47,1.32,1.66,1,,,
May,,,,,,,,,,,2.12,2.38,2.07,2.32,2.06,0.66,0.42,,,
June,,,,,,,,,,,1.79,2.99,2.63,0.74,2.4,2.36,1.66,,,
July,,,,,,,,,,,2.07,2.09,1.89,2.7,2.64,3.67,1.42,,,
August,,,,,,,,,,,2.43,4.21,2.44,1.91,2.07,2.25,1.98,,,
September,,,,,,,,,,,0.87,1.27,2.74,2.26,0.68,0.48,3.37,,,
October,,,,,,,,,,,1.43,4.06,2.49,1.91,2.33,2.71,2.11,,,
November,,,,,,,,,,,3.21,1.67,1.61,1.12,2.04,2.57,1.38,,,
December,,,,,,,,,,2.33,0.6,3.39,1.96,2.22,1.94,2,3.2,,,
Total,,,,,,,,,,,19.8,27.22,22.15,19.72,22.1,23.35,20.87,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near St Pauls Street with the correct relationsship to the Church and Institute.,,,,,,,,,,,,,,,,,,,,
Altitudes nearly match. NGR could be +/- 200m,,,,,,,,,,,,,,,,,,,,
