BURTON-ON-TRENT-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK248224,Long,-1.63362,Lat,52.798595,Elevation,160,ft.,,,,,,,,,,,,
Station no,RR7392,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.45,1.64,3.67,2.33,1.74,0.33,0.87,2.34,2.15,,,,,,
February,,,,,,1.28,3.15,2.55,1.14,3.35,2.07,4.29,2.11,2.38,,,,,,
March,,,,,,0.8,3.24,2.22,0.88,0.86,1.25,2.32,1.61,0.86,,,,,,
April,,,,,,0.69,2.88,3.42,1.88,2.68,1.46,0.75,3.25,,,,,,,
May,,,,,,1.69,0.93,2.46,5.93,2.24,2.01,1.28,2.25,,,,,,,
June,,,,,,3.37,2.42,1.47,3.15,3.96,2.71,2.27,4.81,,,,,,,
July,,,,,,6.03,2.02,3.63,0.73,2.5,5.75,1.24,3.15,,,,,,,
August,,,,,,2.62,1.58,4.05,4.37,5,1.39,4.45,1.59,,,,,,,
September,,,,,,4.02,4.08,2.1,2.1,2.9,3.09,1.77,2.19,,,,,,,
October,,,,,,6.15,1.64,1.57,2.9,0.94,4.22,3.1,5.27,,,,,,,
November,,,,,,4.03,3.27,3.29,2.71,1.51,2.01,2.53,3.67,,,,,,,
December,,,,,,1.38,5.11,1.53,2.41,1.28,3.39,2.44,5.73,,,,,,,
Total,,,,,,35.51,31.96,31.96,30.53,28.96,29.68,27.31,37.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the grammar school on Bond St but the school moved there in 1877!! Altitudes match.,,,,,,,,,,,,,,,,,,,,
Gauge moved to the Trumans brewery in Apr 1893 before moving to 8 Derby Road in April 1895.,,,,,,,,,,,,,,,,,,,,
