GUSSAGE-ST-MICHAELS-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST981120,Long,-2.02821,Lat,50.90788,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.51,5.23,5.93,0.98,3.67,1.69,1.47,4.5,6.4,4.61,3.55,5.63,1.78,3.97,4.97,5.57,2.86,4.84,1.65,5.11,2.98,2.86,2.81,,,,,,,
February,,1.74,3.23,1.37,5.1,6.81,5.65,1.34,1.74,3.77,0.75,0.38,3.09,6.79,0.81,4.96,2.18,4.15,2.93,1.35,0.97,2.17,0.1,4.87,,,,,,,
March,,2.26,5,3.03,5.27,0.9,3.13,3.37,1.32,5.74,2.3,1.51,2.93,1.84,1.62,0.79,0.9,3.94,2.64,0.18,1.51,1.06,1.67,4.52,,,,,,,
April,,1.67,0.13,3.36,1.21,1.6,1.66,2.09,1.91,1.98,4.26,0.9,3.48,3.99,3.44,2.7,3.86,2.03,2.14,0.7,2.55,2.63,3.06,1.56,,,,,,,
May,,1.77,1.59,2.96,1.61,3.44,2.18,2.59,1.7,0.49,1.41,1.63,0.48,1.86,5.52,3.85,2.35,1.65,1.72,2.14,2.81,3.25,3.97,1.97,,,,,,,
June,,2.34,4.08,0.65,0.98,0.64,1.88,2.39,1.12,0.7,2.27,0.49,1.15,0.48,2.03,0,2.69,2.68,2.76,1.57,0.73,2.56,2.78,1.57,,,,,,,
July,,0.13,2.74,1.12,4.02,5.03,1.53,2.63,4.32,1.77,6.89,0.42,5.29,0.71,4.04,2.85,1.39,2.3,1.78,1.35,2.08,4.74,2.9,2.35,,,,,,,
August,,0.56,7.79,2.43,4.21,1.41,4.09,4.93,2.46,3.15,1.45,1.84,3.79,3.09,3.01,2.8,1.13,3.7,1.94,1.7,4.93,4.58,1.1,0.93,,,,,,,
September,,1,2.2,4.15,1.81,2.26,2.87,2,5.26,1.48,1.18,0.74,1.84,2.39,3.89,3.8,0.75,5.68,1.79,0.65,4.17,1.87,3.68,2.58,,,,,,,
October,,3.49,4,4.76,3,7.02,6.47,5.01,1.86,1.23,2.47,0.94,1.87,6.54,5.2,4.66,2.89,2.64,7.09,5.36,2.75,0.71,5.94,2.67,,,,,,,
November,,3.82,2.15,4.82,6.88,2.82,5.33,0.84,3.24,2.66,1.73,2.36,1.82,3.04,4.37,3.1,9.56,3.7,3.47,9.45,5.35,5.49,2.35,0.89,,,,,,,
December,,9.21,4.89,2.33,9.03,8.5,4.99,1.35,3.15,6.47,3.28,2.22,4.55,4.07,7.09,3.6,0.51,4.18,2.66,7.69,4.7,1.12,1.77,1.06,,,,,,,
Total,,29.5,43.03,36.91,44.1,44.1,41.47,30.01,32.58,35.84,32.6,16.98,35.92,36.58,44.99,38.08,33.78,39.51,35.76,33.79,37.66,33.16,32.18,27.78,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 No Readings House sold in summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
