HILBOROUGH-HALL-GARDENS,,,,,,,,,,
Grid ref,TF827001,Long,0.69430287,Lat,52.568039,Elevation,95,ft,,
Station no,1465/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.72,2.8,1.85,1.88,2.06,3.17
February,,,,,2.41,1.44,2.94,3.53,0.35,1.42
March,,,,,1.73,0.72,2.41,0.78,1.14,0.85
April,,,,,0.74,1,0.39,0.59,1.81,0.8
May,,,,,2.35,0.79,1.43,3,1.12,0.19
June,,,,,2.33,2.35,1.36,2.11,0.69,1.47
July,,,,,0,2.49,3.56,3.77,3.62,3.27
August,,,,,0.98,4.16,1.83,2.21,1.72,3.26
September,,,,,1.89,1.62,2.59,1.78,0.07,3.89
October,,,,,2.87,1.95,1.26,1.64,1.72,3.77
November,,,,,1.67,0.99,2.33,1.66,1,4.81
December,,,,,1.55,1.44,1.89,2.65,3.67,3.67
Total,,,,,20.24,21.75,23.84,25.6,18.97,30.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
